dim,ts_name,best_value,steps_to_best_value
54,G2_130k,12216.654129792998,30
54,G3_Best1,12181.377736233668,680
54,G3_58K,12272.928197899018,629
54,Const_50,12049.521052965323,7627
54,Linear,11501.730911225033,1919
54,ReciprocalV1,11815.47704834985,9409
54,ReciprocalV2,12577.65135879016,10456
54,GeometricV1,12154.879779202412,14806
54,GeometricV2,12102.500199987895,8570
54,LogarithmicV1,12106.230450737266,7229
54,LogarithmicV2,12135.759556906949,11666
136,G2_130k,85221.40492830922,1251
136,G3_Best1,86170.64114150667,2523
136,G3_58K,87564.11004717747,2601
136,Const_50,85954.36993727,10445
136,Linear,85214.42423282303,1071
136,ReciprocalV1,86557.44623011997,23927
136,ReciprocalV2,85481.28234466894,5108
136,GeometricV1,84449.18576884558,5823
136,GeometricV2,86372.56088368174,15615
136,LogarithmicV1,84577.75171595656,709
136,LogarithmicV2,85230.56722995917,12965
197,G2_130k,183900.7802474605,4010
197,G3_Best1,179793.47184442097,1204
197,G3_58K,182911.02799235858,4349
197,Const_50,182766.75792338583,17145
197,Linear,181699.66958780313,35230
197,ReciprocalV1,182635.01773218665,22846
197,ReciprocalV2,179026.80436102836,44979
197,GeometricV1,183144.93801531915,19084
197,GeometricV2,182196.4531437202,36241
197,LogarithmicV1,180026.97431162174,9324
197,LogarithmicV2,180275.94920447073,19651
151,G2_130k,106986.45033677312,2355
151,G3_Best1,104133.11157950932,198
151,G3_58K,105689.20056983658,2490
151,Const_50,107420.59536450534,19096
151,Linear,108730.79960234063,3468
151,ReciprocalV1,103036.69334715557,7547
151,ReciprocalV2,106181.94768624437,2074
151,GeometricV1,106781.23244994895,12502
151,GeometricV2,104730.68439863894,10054
151,LogarithmicV1,106360.28134617528,8449
151,LogarithmicV2,107172.50738642908,29763
136,G2_130k,78311.72373758206,2275
136,G3_Best1,78281.74590633548,23
136,G3_58K,78062.68104321277,1850
136,Const_50,78773.78545450458,22624
136,Linear,78735.99600126523,24069
136,ReciprocalV1,77908.72939845151,1443
136,ReciprocalV2,78394.70688991895,19863
136,GeometricV1,78657.40755020623,300
136,GeometricV2,79133.28043312952,17646
136,LogarithmicV1,76704.78593761327,10073
136,LogarithmicV2,76277.0790242474,2895
186,G2_130k,165089.23045620884,2393
186,G3_Best1,165460.08821261596,148
186,G3_58K,166850.30698164468,2090
186,Const_50,167335.60182010214,27240
186,Linear,166156.5622606815,19294
186,ReciprocalV1,163735.68762069938,31938
186,ReciprocalV2,165914.22215858128,35808
186,GeometricV1,162515.95297510325,8423
186,GeometricV2,164180.0523025925,3082
186,LogarithmicV1,163770.3855083986,30571
186,LogarithmicV2,161508.7998963029,11380
103,G2_130k,45355.45771181059,1922
103,G3_Best1,45521.38244515162,224
103,G3_58K,45256.77870459831,1353
103,Const_50,45615.45814762996,22210
103,Linear,44688.54152779391,12330
103,ReciprocalV1,44011.26773625672,10493
103,ReciprocalV2,44658.618477718,11990
103,GeometricV1,45173.08445237501,12818
103,GeometricV2,44366.99870732143,8708
103,LogarithmicV1,45869.36947811375,9308
103,LogarithmicV2,46284.54795489967,13993
295,G2_130k,425938.78557095263,6552
295,G3_Best1,426405.30628946866,4935
295,G3_58K,423893.08404786675,6065
295,Const_50,426618.77893615945,63713
295,Linear,424368.86103837355,37201
295,ReciprocalV1,425917.63753650134,36102
295,ReciprocalV2,419674.0915609942,20821
295,GeometricV1,420073.3053982987,22417
295,GeometricV2,426292.87038096803,46734
295,LogarithmicV1,420654.2587448382,7861
295,LogarithmicV2,415963.88952343987,29014
256,G2_130k,297629.3800845885,5073
