dim,ts_name,best_value,steps_to_best_value
kroA200,E d,44907.0,2254
kroA200,F d,155630.0,3113
kroA200,G d,170214.0,596
kroA200,G2 d,35739.0,4991
kroA200,G3_1 d,250629.0,2844
kroA200,G4_1 d,253019.00000000003,4168
kroA200,G6_V1_3 d,187510.00000000003,4951
kroA200,G6_V0_1 d,188719.0,3780
kroA200,E s,47359.00000000001,1274
kroA200,F s,168050.0,163
kroA200,G s,170998.00000000003,1428
kroA200,G2 s,35596.0,4989
kroA200,G3_1 s,236601.0,4423
kroA200,G4_1 s,246955.0,3474
kroA200,G6_V1_3 s,155188.0,4859
kroA200,G6_V0_1 s,104630.00000000001,3259
kroA200,Linear,120137,50097
kroA200,GeometricV1,91243,50095
kroA200,GeometricV2,136764,50107
kroA200,LogarithmicV1,84650,32956
kroA200,LogarithmicV2,271459,18295
