dim,ts_name,best_value,steps_to_best_value
kroB100,E d,26601.0,1013
kroB100,F d,65123.0,2079
kroB100,G d,68260.0,856
kroB100,G2 d,24362.0,2109
kroB100,G3_1 d,113793.0,1896
kroB100,G4_1 d,118187.00000000001,1872
kroB100,G6_V1_3 d,73333.0,2200
kroB100,G6_V0_1 d,44890.00000000001,2097
kroB100,E s,26620.000000000004,847
kroB100,F s,65274.0,367
kroB100,G s,70430.0,229
kroB100,G2 s,23460.0,2268
kroB100,G3_1 s,108958.0,498
kroB100,G4_1 s,113835.0,2248
kroB100,G6_V1_3 s,59316.0,2102
kroB100,G6_V0_1 s,46726.0,2130
kroB100,Linear,76279,22697
kroB100,GeometricV1,60628,22593
kroB100,GeometricV2,91320,22479
kroB100,LogarithmicV1,53690,14396
kroB100,LogarithmicV2,132139,13926
kroB150,E d,36957.0,1470
kroB150,F d,107934.0,145
kroB150,G d,112196.0,1476
kroB150,G2 d,31877.999999999996,3066
kroB150,G3_1 d,176682.0,1102
kroB150,G4_1 d,183414.0,3017
kroB150,G6_V1_3 d,143607.0,3172
kroB150,G6_V0_1 d,122805.0,2434
kroB150,E s,37295.99999999999,1052
kroB150,F s,108839.0,1385
kroB150,G s,120929.0,2035
kroB150,G2 s,30123.0,3012
kroB150,G3_1 s,183535.0,2886
kroB150,G4_1 s,190376.0,1904
kroB150,G6_V1_3 s,113965.99999999999,2915
kroB150,G6_V0_1 s,63174.00000000001,3016
kroB150,Linear,109823,31515
kroB150,GeometricV1,98682,30150
kroB150,GeometricV2,126785,31677
kroB150,LogarithmicV1,78550,20885
kroB150,LogarithmicV2,205731,9233
kroB150,E d,36049.0,1413
kroB150,F d,112068.0,2261
kroB150,G d,119410.0,1727
kroB150,G2 d,30826.0,3079
kroB150,G3_1 d,172568.0,2146
kroB150,G4_1 d,177748.0,2032
kroB150,G6_V1_3 d,127798.99999999999,3057
kroB150,G6_V0_1 d,121309.0,3164
kroB150,E s,36535.0,1148
kroB150,F s,113194.0,1812
kroB150,G s,123895.0,3013
kroB150,G2 s,30449.0,3143
kroB150,G3_1 s,189471.0,976
kroB150,G4_1 s,175966.0,2568
kroB150,G6_V1_3 s,117835.0,3033
kroB150,G6_V0_1 s,75345.0,2720
kroB150,Linear,107983,31580
kroB150,GeometricV1,102930,29431
kroB150,GeometricV2,140055,31718
kroB150,LogarithmicV1,88185,17076
kroB150,LogarithmicV2,206257,17983
kroA150,E d,36186.99999999999,1429
kroA150,F d,114742.99999999999,2060
kroA150,G d,121634.99999999999,870
kroA150,G2 d,31188.999999999996,3075
kroA150,G3_1 d,181602.0,1339
kroA150,G4_1 d,177624.99999999997,3100
kroA150,G6_V1_3 d,139124.99999999997,3130
kroA150,G6_V0_1 d,122171.99999999999,2985
kroA150,E s,40082.99999999999,1160
kroA150,F s,118252.99999999999,1641
kroA150,G s,127529.0,1671
kroA150,G2 s,31891.0,2967
kroA150,G3_1 s,176900.0,3161
kroA150,G4_1 s,173513.99999999997,2590
kroA150,G6_V1_3 s,113134.99999999999,3031
kroA150,G6_V0_1 s,91305.99999999999,2281
kroA150,Linear,114479,31712
kroA150,GeometricV1,87982,31713
kroA150,GeometricV2,131285,31720
kroA150,LogarithmicV1,75614,31336
kroA150,LogarithmicV2,210124,11127
kroB150,E d,36336.0,1440
kroB150,F d,105910.0,990
kroB150,G d,119555.0,1155
kroB150,G2 d,31584.0,2952
kroB150,G3_1 d,179554.0,2489
kroB150,G4_1 d,181037.0,2920
kroB150,G6_V1_3 d,128391.0,2890
kroB150,G6_V0_1 d,116614.0,3159
kroB150,E s,37592.0,1120
kroB150,F s,113686.0,1223
kroB150,G s,119984.0,785
kroB150,G2 s,33014.0,3054
kroB150,G3_1 s,184061.0,2379
kroB150,G4_1 s,188683.0,2787
kroB150,G6_V1_3 s,79716.0,3153
kroB150,G6_V0_1 s,84816.0,1369
kroB150,Linear,106711,31608
kroB150,GeometricV1,98173,31436
kroB150,GeometricV2,134687,31599
kroB150,LogarithmicV1,79749,21105
kroB150,LogarithmicV2,203679,20784
kroA100,E d,27540.999999999996,1031
kroA100,F d,66893.0,795
kroA100,G d,71438.0,841
kroA100,G2 d,24092.0,2102
kroA100,G3_1 d,116848.0,2198
kroA100,G4_1 d,114091.99999999999,2028
kroA100,G6_V1_3 d,75451.0,2234
kroA100,G6_V0_1 d,80800.0,2168
kroA100,E s,26616.999999999996,854
kroA100,F s,67578.0,794
