dim,ts_name,best_value,steps_to_best_value
kroA100,E d,32815.0,1066
kroA100,F d,68718.0,140
kroA100,G d,77127.0,872
kroA100,G2 d,28934.0,3438
kroA100,G3_1 d,110840.0,3852
kroA100,G3_2,117013.0,2981
kroA100,G3_3,117036.99999999999,2569
kroA100,G4_1 d,116451.99999999999,4069
kroA100,G4_2,78343.0,199
kroA100,G4_3,119704.0,2769
kroA100,G6_V1_1,80812.0,4487
kroA100,G6_V1_2,40876.0,4512
kroA100,G6_V1_3 d,58380.0,4522
kroA100,G6_V0_1 d,71107.0,3815
kroA100,G6_V0_2,113899.0,3931
kroA100,G6_V0_3,32593.0,4459
kroA100,E s,30000.0,1519
kroA100,F s,64987.0,4129
kroA100,G s,76229.0,1171
kroA100,G2 s,30617.0,3787
kroA100,G3_1 s,116830.0,2106
kroA100,G4_1 s,114148.99999999999,3033
kroA100,G6_V1_3 s,63392.99999999999,4483
kroA100,G6_V0_1 s,52860.99999999999,4361
kroA100,Const_100,130872,20555
kroA100,Linear,54722,44999
kroA100,ReciprocalV1,40352,44959
kroA100,ReciprocalV2,90561,45403
kroA100,GeometricV1,45140,45386
kroA100,GeometricV2,59275,45405
kroA100,LogarithmicV1,36609,36017
kroA100,LogarithmicV2,123149,39255
kroB150,E d,48326.0,1523
kroB150,F d,111212.99999999999,4584
kroB150,G d,122435.0,1461
kroB150,G2 d,45844.0,2075
kroB150,G3_1 d,174028.0,5324
kroB150,G3_2,177769.0,3201
kroB150,G3_3,178401.99999999997,5536
kroB150,G4_1 d,176889.0,5325
kroB150,G4_2,123018.0,947
kroB150,G4_3,186200.0,5636
kroB150,G6_V1_1,134774.0,6122
kroB150,G6_V1_2,77844.0,6344
kroB150,G6_V1_3 d,128860.0,6344
kroB150,G6_V0_1 d,127643.00000000001,5469
kroB150,G6_V0_2,189435.0,4441
kroB150,G6_V0_3,57658.99999999999,6341
kroB150,E s,45825.0,1679
kroB150,F s,116320.0,5639
kroB150,G s,126315.00000000001,3081
kroB150,G2 s,47371.99999999999,3094
kroB150,G3_1 s,182473.0,4563
kroB150,G4_1 s,181776.0,5935
kroB150,G6_V1_3 s,98056.0,5931
kroB150,G6_V0_1 s,88606.99999999999,1713
kroB150,Const_100,191865,398
kroB150,Linear,78178,63426
kroB150,ReciprocalV1,61117,55270
kroB150,ReciprocalV2,131603,63445
kroB150,GeometricV1,61999,63427
kroB150,GeometricV2,102415,63385
kroB150,LogarithmicV1,57509,52000
kroB150,LogarithmicV2,199682,30544
st70,E d,801.0,543
st70,F d,1502.0,357
st70,G d,1730.0,1417
st70,G2 d,807.0,1246
st70,G3_1 d,2454.0,1713
st70,G3_2,2369.0,823
st70,G3_3,2632.0,2537
st70,G4_1 d,2472.0,2253
st70,G4_2,1711.0,304
st70,G4_3,2617.0,1757
st70,G6_V1_1,1692.0,2963
st70,G6_V1_2,1047.0,2995
st70,G6_V1_3 d,1498.0,2980
st70,G6_V0_1 d,1609.0,2841
st70,G6_V0_2,2566.0,2091
st70,G6_V0_3,1183.0,2997
st70,E s,795.0,1022
st70,F s,1443.0,2414
st70,G s,1769.0,468
st70,G2 s,755.0,2953
st70,G3_1 s,2601.0,2926
