dim,ts_name,best_value,steps_to_best_value
st70,E d,779.0,995
st70,F d,1479.0,979
st70,G d,1521.0,570
st70,G2 d,757.0,1457
st70,G3_1 d,2581.0,1568
st70,G3_2,2504.0,1379
st70,G3_3,2451.0,1669
st70,G4_1 d,2432.0,2033
st70,G4_2,1885.0000000000002,399
st70,G4_3,2594.0,1658
st70,G6_V1_1,1602.0,2902
st70,G6_V1_2,1146.0,2951
st70,G6_V1_3 d,1526.0,2982
st70,G6_V0_1 d,1685.0,2862
st70,G6_V0_2,2544.0,1898
st70,G6_V0_3,1587.0,2988
st70,E s,761.0,973
st70,F s,1378.0,1590
st70,G s,1675.0,1242
st70,G2 s,818.0,1677
st70,G3_1 s,2627.0,1729
st70,G4_1 s,2583.0,2882
st70,G6_V1_3 s,1194.0,2974
st70,G6_V0_1 s,1300.0,796
st70,Const_100,2753,13079
st70,Linear,1399,29948
st70,ReciprocalV1,985,26401
st70,ReciprocalV2,2044,29999
st70,GeometricV1,1048,27754
st70,GeometricV2,1626,29977
st70,LogarithmicV1,865,24628
st70,LogarithmicV2,2837,5147
gr96,E d,85034.00000000001,577
gr96,F d,154539.0,983
gr96,G d,172264.0,1144
gr96,G2 d,68170.0,3132
gr96,G3_1 d,253771.00000000003,3427
gr96,G3_2,250554.0,3441
gr96,G3_3,266216.00000000006,4176
gr96,G4_1 d,259675.00000000003,3401
gr96,G4_2,178723.00000000003,281
gr96,G4_3,264177.0,2504
gr96,G6_V1_1,174949.0,3610
gr96,G6_V1_2,119234.00000000001,4246
gr96,G6_V1_3 d,169588.0,4214
gr96,G6_V0_1 d,171175.0,3670
gr96,G6_V0_2,275721.0,2885
gr96,G6_V0_3,104171.0,4253
gr96,E s,75545.00000000001,892
gr96,F s,160739.0,1179
gr96,G s,164933.0,2249
gr96,G2 s,69463.00000000001,2609
gr96,G3_1 s,254461.0,4234
gr96,G4_1 s,263058.0,3367
gr96,G6_V1_3 s,154390.0,4031
gr96,G6_V0_1 s,122532.0,1968
gr96,Const_100,288040,31879
gr96,Linear,129766,42426
gr96,ReciprocalV1,92505,37917
gr96,ReciprocalV2,199268,42548
gr96,GeometricV1,98725,41517
gr96,GeometricV2,136177,42527
gr96,LogarithmicV1,79711,29210
gr96,LogarithmicV2,269987,29666
kroA150,E d,42851.0,2227
kroA150,F d,113024.99999999999,3308
kroA150,G d,127548.0,4325
kroA150,G2 d,43460.99999999999,3766
kroA150,G3_1 d,183697.99999999997,5406
kroA150,G3_2,179849.99999999997,3780
kroA150,G3_3,187180.99999999997,5663
kroA150,G4_1 d,179244.99999999997,5654
kroA150,G4_2,130039.99999999999,1189
kroA150,G4_3,191842.99999999997,5799
kroA150,G6_V1_1,135912.0,5474
kroA150,G6_V1_2,107615.0,6311
kroA150,G6_V1_3 d,122672.99999999999,6323
kroA150,G6_V0_1 d,131938.0,6075
kroA150,G6_V0_2,199058.99999999997,6119
kroA150,G6_V0_3,56349.99999999999,6343
kroA150,E s,47442.99999999999,2089
kroA150,F s,119382.99999999999,145
kroA150,G s,132283.99999999997,3807
kroA150,G2 s,43246.99999999999,6070
kroA150,G3_1 s,171464.0,5993
kroA150,G4_1 s,187044.99999999997,4827
kroA150,G6_V1_3 s,98305.99999999999,5686
kroA150,G6_V0_1 s,88201.0,5815
kroA150,Const_100,200432,55735
kroA150,Linear,75808,63444
kroA150,ReciprocalV1,58318,63327
kroA150,ReciprocalV2,130147,63429
kroA150,GeometricV1,66363,61945
kroA150,GeometricV2,104877,63434
kroA150,LogarithmicV1,54573,33478
kroA150,LogarithmicV2,197570,22354
eil51,E d,483.0,573
eil51,F d,703.0,2657
eil51,G d,684.0000000000001,854
eil51,G2 d,447.00000000000006,2850
eil51,G3_1 d,1092.0000000000002,2696
eil51,G3_2,1069.0000000000002,1322
eil51,G3_3,1105.0,2603
eil51,G4_1 d,1096.0,2457
eil51,G4_2,779.0,132
eil51,G4_3,1168.0000000000002,2494
eil51,G6_V1_1,716.0000000000001,2866
eil51,G6_V1_2,557.0,2969
eil51,G6_V1_3 d,610.0,2963
eil51,G6_V0_1 d,617.0,2836
eil51,G6_V0_2,1140.0,2954
eil51,G6_V0_3,689.0,2967
eil51,E s,471.00000000000006,597
eil51,F s,685.0,2253
eil51,G s,722.0000000000001,1622
eil51,G2 s,443.0,910
eil51,G3_1 s,1058.0,2583
eil51,G4_1 s,1063.0000000000002,1962
eil51,G6_V1_3 s,657.0000000000001,2908
eil51,G6_V0_1 s,541.0,2781
eil51,Const_100,1244,17064
eil51,Linear,604,29998
eil51,ReciprocalV1,508,28497
eil51,ReciprocalV2,1037,29999
eil51,GeometricV1,550,27170
eil51,GeometricV2,751,29996
eil51,LogarithmicV1,485,25172
eil51,LogarithmicV2,1255,24426
kroB150,E d,46112.0,1330
kroB150,F d,111081.0,3491
kroB150,G d,118852.0,881
kroB150,G2 d,46825.0,3821
kroB150,G3_1 d,178110.0,5750
kroB150,G3_2,172402.0,5594
kroB150,G3_3,181228.0,4821
kroB150,G4_1 d,178164.0,3652
kroB150,G4_2,127851.0,1164
kroB150,G4_3,185729.0,6342
kroB150,G6_V1_1,146377.0,6191
kroB150,G6_V1_2,98355.0,6344
kroB150,G6_V1_3 d,127179.0,6101
kroB150,G6_V0_1 d,122423.0,6155
kroB150,G6_V0_2,192412.99999999997,2963
kroB150,G6_V0_3,77969.0,6321
kroB150,E s,49832.0,885
kroB150,F s,107273.0,2433
kroB150,G s,124246.0,2417
kroB150,G2 s,46311.0,6304
kroB150,G3_1 s,180460.0,3851
kroB150,G4_1 s,181022.0,6173
kroB150,G6_V1_3 s,87127.0,6275
kroB150,G6_V0_1 s,95765.0,4115
kroB150,Const_100,198764,24893
kroB150,Linear,86018,63435
kroB150,ReciprocalV1,58407,62431
kroB150,ReciprocalV2,138170,63438
kroB150,GeometricV1,66694,58717
kroB150,GeometricV2,93840,63417
kroB150,LogarithmicV1,53418,29483
kroB150,LogarithmicV2,200100,33264
kroB100,E d,31536.0,1800
kroB100,F d,65561.0,3361
kroB100,G d,68303.0,855
kroB100,G2 d,31899.0,2474
kroB100,G3_1 d,113132.00000000001,3239
kroB100,G3_2,117421.00000000001,4284
kroB100,G3_3,113910.0,4385
kroB100,G4_1 d,112819.0,3188
kroB100,G4_2,83852.00000000001,334
kroB100,G4_3,117170.0,3225
kroB100,G6_V1_1,76551.0,4522
kroB100,G6_V1_2,46711.0,4420
kroB100,G6_V1_3 d,68373.0,4368
kroB100,G6_V0_1 d,73205.0,4390
kroB100,G6_V0_2,112156.0,4378
kroB100,G6_V0_3,39435.0,4527
kroB100,E s,30935.0,1032
kroB100,F s,70339.0,141
kroB100,G s,73696.0,1406
kroB100,G2 s,31178.0,4359
kroB100,G3_1 s,118728.00000000001,4251
kroB100,G4_1 s,117777.00000000001,3418
kroB100,G6_V1_3 s,59477.0,4504
kroB100,G6_V0_1 s,55691.0,3708
kroB100,Const_100,127528,24597
kroB100,Linear,49068,45368
kroB100,ReciprocalV1,40699,43716
kroB100,ReciprocalV2,102411,45396
kroB100,GeometricV1,49028,45376
kroB100,GeometricV2,68132,45404
kroB100,LogarithmicV1,38609,44873
kroB100,LogarithmicV2,124658,35687
kroA100,E d,33095.0,1021
kroA100,F d,66480.0,3744
