dim,ts_name,best_value,steps_to_best_value
kroB100,E d,137526.0,1939
kroB100,F d,133863.0,618
kroB100,G d,134343.0,1513
kroB100,G2 d,137080.0,748
kroB100,G3_1 d,138352.0,559
kroB100,G4_1 d,139185.0,890
kroB100,G6_V1_3 d,143872.0,182
kroB100,G6_V0_1 d,139681.0,1250
kroB100,E s,137731.0,173
kroB100,F s,139169.0,1532
kroB100,G s,139718.0,529
kroB100,G2 s,140209.0,771
kroB100,G3_1 s,136379.0,1560
kroB100,G4_1 s,140138.0,1789
kroB100,G6_V1_3 s,138952.0,384
kroB100,G6_V0_1 s,135258.0,1713
kroB100,Linear,138964,16381
kroB100,GeometricV1,135414,4521
kroB100,GeometricV2,139203,2726
kroB100,LogarithmicV1,138175,10068
kroB100,LogarithmicV2,137969,4607
kroA100,E d,140616.0,817
kroA100,F d,143718.0,1057
kroA100,G d,143783.0,795
kroA100,G2 d,141965.0,1430
kroA100,G3_1 d,141244.0,247
kroA100,G4_1 d,142274.0,1957
kroA100,G6_V1_3 d,141744.0,640
kroA100,G6_V0_1 d,141564.0,395
kroA100,E s,139989.0,1211
kroA100,F s,142291.0,1504
kroA100,G s,142709.0,352
kroA100,G2 s,139448.0,1863
kroA100,G3_1 s,142486.0,1353
kroA100,G4_1 s,135704.0,2197
kroA100,G6_V1_3 s,139716.0,1745
kroA100,G6_V0_1 s,138236.0,1079
kroA100,Linear,136128,1066
kroA100,GeometricV1,141187,17499
kroA100,GeometricV2,142324,11726
kroA100,LogarithmicV1,139930,31
kroA100,LogarithmicV2,143161,12176
kroB150,E d,220825.0,463
kroB150,F d,213974.0,1779
kroB150,G d,217650.0,3048
kroB150,G2 d,220460.0,267
kroB150,G3_1 d,221997.0,1618
kroB150,G4_1 d,218417.0,1373
kroB150,G6_V1_3 d,219266.0,2887
kroB150,G6_V0_1 d,215935.0,1172
kroB150,E s,220470.0,1343
kroB150,F s,215041.0,772
kroB150,G s,216883.0,488
kroB150,G2 s,217180.0,1582
kroB150,G3_1 s,214395.0,1026
kroB150,G4_1 s,218815.0,1551
kroB150,G6_V1_3 s,217754.0,2253
kroB150,G6_V0_1 s,219812.0,2908
kroB150,Linear,217551,21847
kroB150,GeometricV1,219222,26524
kroB150,GeometricV2,216610,11416
kroB150,LogarithmicV1,218711,12495
kroB150,LogarithmicV2,218447,21533
kroB100,E d,136175.0,1677
kroB100,F d,140725.0,707
kroB100,G d,139773.0,1123
kroB100,G2 d,137747.0,724
kroB100,G3_1 d,139152.0,296
kroB100,G4_1 d,137067.0,1220
kroB100,G6_V1_3 d,136364.0,1063
kroB100,G6_V0_1 d,139622.0,1301
kroB100,E s,133745.0,1962
kroB100,F s,134735.0,1765
kroB100,G s,133135.0,43
kroB100,G2 s,140763.0,1053
kroB100,G3_1 s,135029.0,2166
kroB100,G4_1 s,140358.0,1835
kroB100,G6_V1_3 s,135128.0,1673
kroB100,G6_V0_1 s,140203.0,565
kroB100,Linear,131039,8211
kroB100,GeometricV1,138382,17574
