dim,ts_name,bv,stbv
535,PPO_update_31k,3179907.9999999995,2489
535,DDQN_eps_1k,3264369.0,1324
535,PPO_update_115k,3218245.9999999995,593
535,DDQN_eps_3k,3243574.0,2123
535,Linear,2391413,4998
535,ReciprocalV1,1517073,4999
535,ReciprocalV2,3095315,3229
535,GeometricV1,1836249,4996
535,GeometricV2,2822519,4999
535,LogarithmicV1,1517297,4988
535,LogarithmicV2,1528613,4880
14,PPO_update_31k,4032.0,2541
14,DDQN_eps_1k,4298.0,1768
14,PPO_update_115k,4015.0,3458
14,DDQN_eps_3k,4464.0,225
14,Linear,3404,4938
14,ReciprocalV1,3323,2312
14,ReciprocalV2,4123,280
14,GeometricV1,3323,4875
14,GeometricV2,3591,4992
14,LogarithmicV1,3323,711
14,LogarithmicV2,3323,2077
