dim,ts_name,best_value,steps_to_best_value
pr107,Const_100,468688,906
pr107,Linear,506339,242
pr107,ReciprocalV1,500865,329
pr107,ReciprocalV2,509623,493
pr107,GeometricV1,467689,143
pr107,GeometricV2,468372,722
pr107,LogarithmicV1,500971,225
pr107,LogarithmicV2,492071,808
kroA100,Const_100,153380,903
kroA100,Linear,148991,544
kroA100,ReciprocalV1,152638,353
kroA100,ReciprocalV2,149128,591
kroA100,GeometricV1,138391,612
kroA100,GeometricV2,141665,721
kroA100,LogarithmicV1,150278,656
kroA100,LogarithmicV2,138585,430
kroE100,Const_100,143343,769
kroE100,Linear,146736,703
kroE100,ReciprocalV1,150027,863
kroE100,ReciprocalV2,148899,352
kroE100,GeometricV1,141497,131
kroE100,GeometricV2,152104,550
kroE100,LogarithmicV1,161777,43
kroE100,LogarithmicV2,152629,768
kroB200,Const_100,308654,1316
kroB200,Linear,302421,1578
kroB200,ReciprocalV1,298004,954
kroB200,ReciprocalV2,303557,384
kroB200,GeometricV1,306505,1214
kroB200,GeometricV2,299600,138
kroB200,LogarithmicV1,297377,1618
kroB200,LogarithmicV2,293300,1591
kroB100,Const_100,149371,638
kroB100,Linear,150889,564
kroB100,ReciprocalV1,152379,880
kroB100,ReciprocalV2,147372,326
kroB100,GeometricV1,147918,518
kroB100,GeometricV2,151701,97
kroB100,LogarithmicV1,146459,657
kroB100,LogarithmicV2,145962,491
kroB200,Const_100,298969,419
kroB200,Linear,304634,164
kroB200,ReciprocalV1,298893,1411
kroB200,ReciprocalV2,301503,921
kroB200,GeometricV1,303269,1326
kroB200,GeometricV2,299704,1661
kroB200,LogarithmicV1,307014,1187
kroB200,LogarithmicV2,306084,1617
eil101,Const_100,3093,135
eil101,Linear,3077,485
eil101,ReciprocalV1,3068,12
eil101,ReciprocalV2,2965,380
eil101,GeometricV1,2975,518
eil101,GeometricV2,3147,858
eil101,LogarithmicV1,3249,792
eil101,LogarithmicV2,2997,290
tsp225,Const_100,38170,1575
tsp225,Linear,37887,1579
tsp225,ReciprocalV1,38708,1871
tsp225,ReciprocalV2,38312,1309
tsp225,GeometricV1,37146,1814
tsp225,GeometricV2,38247,959
tsp225,LogarithmicV1,37865,1674
tsp225,LogarithmicV2,37986,627
kroB200,Const_100,301049,1367
kroB200,Linear,305078,348
kroB200,ReciprocalV1,294608,1640
kroB200,ReciprocalV2,309112,1492
kroB200,GeometricV1,299031,427
kroB200,GeometricV2,294202,1342
kroB200,LogarithmicV1,299808,914
kroB200,LogarithmicV2,307620,1554
kroB100,Const_100,151648,679
kroB100,Linear,150380,880
kroB100,ReciprocalV1,142949,318
kroB100,ReciprocalV2,151968,780
kroB100,GeometricV1,141636,326
kroB100,GeometricV2,152908,809
kroB100,LogarithmicV1,146977,220
kroB100,LogarithmicV2,144102,870
fl417,Const_100,453948,2704
fl417,Linear,460146,2645
fl417,ReciprocalV1,445605,2907
fl417,ReciprocalV2,459086,97
fl417,GeometricV1,454799,958
fl417,GeometricV2,459031,1233
fl417,LogarithmicV1,460494,2868
fl417,LogarithmicV2,459353,2284
lin318,Const_100,542274,1821
lin318,Linear,542371,2444
lin318,ReciprocalV1,546843,1256
lin318,ReciprocalV2,557985,1778
lin318,GeometricV1,557162,869
lin318,GeometricV2,553755,1527
lin318,LogarithmicV1,547229,1034
lin318,LogarithmicV2,545300,2696
d493,Const_100,424885,586
d493,Linear,424596,711
d493,ReciprocalV1,423804,588
d493,ReciprocalV2,425437,2032
d493,GeometricV1,424886,2606
d493,GeometricV2,427452,1977
d493,LogarithmicV1,433881,3318
d493,LogarithmicV2,427097,1199
lin318,Const_100,557346,632
lin318,Linear,536625,1153
lin318,ReciprocalV1,552448,790
lin318,ReciprocalV2,547727,2050
lin318,GeometricV1,552943,256
lin318,GeometricV2,550355,539
lin318,LogarithmicV1,543095,37
lin318,LogarithmicV2,543396,1080
kroE100,Const_100,152391,441
kroE100,Linear,153841,246
kroE100,ReciprocalV1,144617,739
kroE100,ReciprocalV2,146898,317
kroE100,GeometricV1,150582,313
kroE100,GeometricV2,152108,329
kroE100,LogarithmicV1,145053,773
kroE100,LogarithmicV2,152047,348
pr144,Const_100,727134,716
pr144,Linear,725239,349
pr144,ReciprocalV1,733985,799
pr144,ReciprocalV2,721444,30
pr144,GeometricV1,748056,755
pr144,GeometricV2,729907,1183
pr144,LogarithmicV1,743335,699
pr144,LogarithmicV2,712337,756
brg180,Const_100,740090,1506
brg180,Linear,761490,1652
brg180,ReciprocalV1,786590,1026
brg180,ReciprocalV2,737880,1470
brg180,GeometricV1,796960,481
brg180,GeometricV2,760010,948
brg180,LogarithmicV1,784660,301
brg180,LogarithmicV2,802500,1169
rd100,Const_100,49035,755
rd100,Linear,50634,532
rd100,ReciprocalV1,49366,360
rd100,ReciprocalV2,48827,489
rd100,GeometricV1,47800,650
rd100,GeometricV2,50125,264
rd100,LogarithmicV1,50303,240
rd100,LogarithmicV2,49899,50
kroB100,Const_100,148840,855
kroB100,Linear,148933,432
kroB100,ReciprocalV1,148665,289
kroB100,ReciprocalV2,139478,335
kroB100,GeometricV1,148166,416
kroB100,GeometricV2,145109,97
kroB100,LogarithmicV1,144836,808
kroB100,LogarithmicV2,155566,774
kroE100,Const_100,151504,689
kroE100,Linear,148579,570
kroE100,ReciprocalV1,145416,501
kroE100,ReciprocalV2,148305,449
kroE100,GeometricV1,142869,753
kroE100,GeometricV2,148328,772
kroE100,LogarithmicV1,158821,790
kroE100,LogarithmicV2,151530,573
kroC100,Const_100,145397,210
kroC100,Linear,150813,202
kroC100,ReciprocalV1,146598,18
kroC100,ReciprocalV2,149540,498
kroC100,GeometricV1,142812,261
kroC100,GeometricV2,146797,708
kroC100,LogarithmicV1,151668,493
kroC100,LogarithmicV2,149375,753
kroA100,Const_100,138662,478
kroA100,Linear,142772,241
kroA100,ReciprocalV1,151602,96
kroA100,ReciprocalV2,147036,401
kroA100,GeometricV1,151213,853
kroA100,GeometricV2,153413,376
kroA100,LogarithmicV1,153325,532
kroA100,LogarithmicV2,156017,762
pr152,Const_100,955023,403
pr152,Linear,961821,886
pr152,ReciprocalV1,940043,472
pr152,ReciprocalV2,939315,645
pr152,GeometricV1,969706,443
pr152,GeometricV2,976052,460
pr152,LogarithmicV1,961595,949
pr152,LogarithmicV2,963811,653
ch150,Const_100,48047,431
ch150,Linear,49254,1162
ch150,ReciprocalV1,48526,196
ch150,ReciprocalV2,49657,588
ch150,GeometricV1,49993,561
ch150,GeometricV2,50131,1036
ch150,LogarithmicV1,49314,727
ch150,LogarithmicV2,49887,1008
rd400,Const_100,199536,3245
rd400,Linear,199862,2982
rd400,ReciprocalV1,198068,1497
rd400,ReciprocalV2,198930,3824
rd400,GeometricV1,201226,1607
rd400,GeometricV2,199801,872
rd400,LogarithmicV1,201632,2783
rd400,LogarithmicV2,198385,3423
pr264,Const_100,1000426,1470
pr264,Linear,1034188,2028
pr264,ReciprocalV1,1042640,484
pr264,ReciprocalV2,1033161,1052
pr264,GeometricV1,1020618,817
pr264,GeometricV2,1000616,1972
pr264,LogarithmicV1,978188,2196
pr264,LogarithmicV2,1021507,1300
kroA100,Const_100,148368,730
kroA100,Linear,154081,842
kroA100,ReciprocalV1,151601,535
kroA100,ReciprocalV2,146320,278
kroA100,GeometricV1,143085,54
kroA100,GeometricV2,147680,728
kroA100,LogarithmicV1,143525,44
kroA100,LogarithmicV2,151361,605
gr137,Const_100,547009,196
gr137,Linear,567785,598
gr137,ReciprocalV1,587800,889
gr137,ReciprocalV2,548547,887
gr137,GeometricV1,516152,936
gr137,GeometricV2,567104,433
gr137,LogarithmicV1,583328,373
gr137,LogarithmicV2,594512,709
si175,Const_100,46491,245
si175,Linear,46277,1436
si175,ReciprocalV1,46121,325
si175,ReciprocalV2,46544,10
si175,GeometricV1,46087,1548
si175,GeometricV2,46074,91
si175,LogarithmicV1,46042,820
si175,LogarithmicV2,45835,845
brazil58,Const_100,103968,388
brazil58,Linear,104847,275
brazil58,ReciprocalV1,106421,338
brazil58,ReciprocalV2,102079,114
brazil58,GeometricV1,106931,480
brazil58,GeometricV2,106539,348
brazil58,LogarithmicV1,104320,79
brazil58,LogarithmicV2,99817,102
pr144,Const_100,727984,551
pr144,Linear,692092,319
pr144,ReciprocalV1,737779,569
pr144,ReciprocalV2,761973,1186
pr144,GeometricV1,730268,135
pr144,GeometricV2,727716,662
pr144,LogarithmicV1,724663,517
pr144,LogarithmicV2,746721,641
eil51,Const_100,1430,587
eil51,Linear,1424,556
eil51,ReciprocalV1,1313,136
eil51,ReciprocalV2,1424,597
eil51,GeometricV1,1442,303
eil51,GeometricV2,1461,161
eil51,LogarithmicV1,1456,262
eil51,LogarithmicV2,1352,32
eil101,Const_100,3205,777
eil101,Linear,3035,822
eil101,ReciprocalV1,3007,742
eil101,ReciprocalV2,3012,201
eil101,GeometricV1,2923,907
eil101,GeometricV2,3075,765
eil101,LogarithmicV1,2950,702
eil101,LogarithmicV2,3039,547
bier127,Const_100,573023,616
bier127,Linear,581758,572
bier127,ReciprocalV1,596580,500
bier127,ReciprocalV2,586462,162
bier127,GeometricV1,571654,47
bier127,GeometricV2,570055,904
bier127,LogarithmicV1,590018,383
bier127,LogarithmicV2,574407,800
eil101,Const_100,3084,122
eil101,Linear,3205,886
eil101,ReciprocalV1,3042,532
eil101,ReciprocalV2,2836,481
eil101,GeometricV1,3030,617
eil101,GeometricV2,3109,413
eil101,LogarithmicV1,3073,834
eil101,LogarithmicV2,3058,574
pr152,Const_100,985796,330
pr152,Linear,907398,73
pr152,ReciprocalV1,961545,499
pr152,ReciprocalV2,926247,997
pr152,GeometricV1,966324,572
pr152,GeometricV2,946272,1182
pr152,LogarithmicV1,923222,719
pr152,LogarithmicV2,963518,957
berlin52,Const_100,26391,9
berlin52,Linear,25819,115
berlin52,ReciprocalV1,25680,237
berlin52,ReciprocalV2,25369,245
berlin52,GeometricV1,26528,399
berlin52,GeometricV2,25494,484
berlin52,LogarithmicV1,26087,361
berlin52,LogarithmicV2,24838,21
st70,Const_100,3181,131
st70,Linear,2938,188
st70,ReciprocalV1,2985,377
st70,ReciprocalV2,3129,551
st70,GeometricV1,3156,526
st70,GeometricV2,3315,290
st70,LogarithmicV1,3257,302
st70,LogarithmicV2,2961,249
brg180,Const_100,803010,1268
brg180,Linear,793620,1505
brg180,ReciprocalV1,784250,50
brg180,ReciprocalV2,791020,1670
brg180,GeometricV1,767170,1025
brg180,GeometricV2,789200,1558
brg180,LogarithmicV1,760200,111
brg180,LogarithmicV2,767620,1612
kroA200,Const_100,306182,1980
kroA200,Linear,311094,254
kroA200,ReciprocalV1,304694,457
kroA200,ReciprocalV2,308379,1562
kroA200,GeometricV1,302340,1857
