dim,ts_name,best_value,steps_to_best_value
st70,E,3087.0,677
st70,F,3128.0,1063
st70,G,3097.0,17
st70,G2,3024.0,945
st70,G3_1,2942.0,1017
st70,G3_2,3126.0,347
st70,G3_3,3229.0,5
st70,G4_1,3095.0,446
st70,G4_2,3008.0,1152
st70,G4_3,3147.0,710
st70,G6_V1_1,3052.0,90
st70,G6_V1_2,3091.0,1333
st70,G6_V1_3,3131.0,1298
st70,G6_V0_1,3170.0,255
st70,G6_V0_2,3054.0,1270
st70,G6_V0_3,3171.0,444
st70,Const_100,3117,825
st70,Linear,3049,280
st70,ReciprocalV1,3039,521
st70,ReciprocalV2,3098,798
st70,GeometricV1,3039,1332
st70,GeometricV2,3037,1291
st70,LogarithmicV1,3068,1000
st70,LogarithmicV2,3092,42
gr431,E,2301189.9999999995,7099
gr431,F,2281645.0,893
gr431,G,2276428.0,6469
gr431,G2,2224889.0,5699
gr431,G3_1,2311342.0,3557
gr431,G3_2,2253640.9999999995,6324
gr431,G3_3,2266517.0,359
gr431,G4_1,2321127.9999999995,9785
gr431,G4_2,2262699.0,6133
gr431,G4_3,2273108.0,7938
gr431,G6_V1_1,2277918.0,309
gr431,G6_V1_2,2276051.0,312
gr431,G6_V1_3,2308832.0,7685
gr431,G6_V0_1,2281800.9999999995,8092
gr431,G6_V0_2,2298755.0,4260
gr431,G6_V0_3,2254310.9999999995,3313
gr431,Const_100,2280374,6486
gr431,Linear,2274255,3925
gr431,ReciprocalV1,2327440,6075
gr431,ReciprocalV2,2245851,2221
gr431,GeometricV1,2332218,649
gr431,GeometricV2,2276776,9788
gr431,LogarithmicV1,2285477,6021
gr431,LogarithmicV2,2285710,9620
brazil58,E,103515.0,858
brazil58,F,104437.99999999999,293
brazil58,G,96295.99999999999,842
brazil58,G2,102607.0,451
brazil58,G3_1,95523.99999999999,1466
brazil58,G3_2,101143.99999999999,159
brazil58,G3_3,106606.0,1081
brazil58,G4_1,104229.99999999999,184
brazil58,G4_2,99151.0,1440
brazil58,G4_3,94670.0,314
brazil58,G6_V1_1,103083.99999999999,286
brazil58,G6_V1_2,100840.0,418
brazil58,G6_V1_3,99171.0,859
brazil58,G6_V0_1,96112.0,805
brazil58,G6_V0_2,99390.99999999999,664
brazil58,G6_V0_3,101385.0,72
brazil58,Const_100,96312,1331
brazil58,Linear,100485,1322
brazil58,ReciprocalV1,103477,877
brazil58,ReciprocalV2,97078,830
brazil58,GeometricV1,101165,962
brazil58,GeometricV2,105029,855
brazil58,LogarithmicV1,100155,779
brazil58,LogarithmicV2,106465,1377
pr76,E,456727.0,904
pr76,F,498640.99999999994,780
pr76,G,504518.99999999994,162
