dim,ts_name,best_value,steps_to_best_value
gr229,E,1233707.0000000002,1721
gr229,F,1269226.0000000002,2195
gr229,G,1228459.0000000002,3522
gr229,G2,1217211.0,1038
gr229,G3_1,1261806.0,2720
gr229,G3_2,1198981.0000000002,1111
gr229,G3_3,1258495.0000000002,2767
gr229,G4_1,1229518.0000000002,1983
gr229,G4_2,1250617.0000000002,649
gr229,G4_3,1252741.0000000002,3350
gr229,G6_V1_1,1268047.0,1258
gr229,G6_V1_2,1226144.0,199
gr229,G6_V1_3,1231581.0000000002,1121
gr229,G6_V0_1,1260891.0000000002,3647
gr229,G6_V0_2,1225434.0,167
gr229,G6_V0_3,1226185.0000000002,2801
gr229,Const_100,1254014,311
gr229,Linear,1272991,1533
gr229,ReciprocalV1,1266964,3388
gr229,ReciprocalV2,1249429,771
gr229,GeometricV1,1253424,4186
gr229,GeometricV2,1253299,1377
gr229,LogarithmicV1,1221034,2074
gr229,LogarithmicV2,1259161,3607
eil76,E,2254.0,1037
eil76,F,2172.0,300
eil76,G,2257.0,1480
eil76,G2,2231.0,1344
eil76,G3_1,2116.0,735
eil76,G3_2,2235.0,372
eil76,G3_3,2159.0,520
eil76,G4_1,2235.0,930
eil76,G4_2,2197.0,1311
eil76,G4_3,2164.0,540
eil76,G6_V1_1,2209.0,513
eil76,G6_V1_2,2192.0,295
eil76,G6_V1_3,2189.0,1186
eil76,G6_V0_1,2146.0,15
eil76,G6_V0_2,2145.0,22
eil76,G6_V0_3,2122.0,932
eil76,Const_100,2083,1414
eil76,Linear,2134,1340
eil76,ReciprocalV1,2220,523
eil76,ReciprocalV2,2222,868
eil76,GeometricV1,2161,269
eil76,GeometricV2,2127,287
eil76,LogarithmicV1,2249,1288
eil76,LogarithmicV2,2159,1163
eil101,E,2800.0,329
eil101,F,3003.0,824
eil101,G,3048.0,729
eil101,G2,2971.0,965
eil101,G3_1,3004.0,1472
eil101,G3_2,2986.0,710
eil101,G3_3,2968.0,2199
eil101,G4_1,2948.0,1977
eil101,G4_2,2981.0,250
eil101,G4_3,2879.0000000000005,965
eil101,G6_V1_1,2991.0,522
eil101,G6_V1_2,2932.0,1286
eil101,G6_V1_3,3017.0,659
eil101,G6_V0_1,3030.0000000000005,63
eil101,G6_V0_2,2960.0,531
eil101,G6_V0_3,3070.0,94
eil101,Const_100,3080,1156
eil101,Linear,2929,1686
eil101,ReciprocalV1,3022,1885
eil101,ReciprocalV2,3034,808
eil101,GeometricV1,2909,1641
eil101,GeometricV2,3073,1958
eil101,LogarithmicV1,2979,1144
eil101,LogarithmicV2,2999,191
eil101,E,3008.0000000000005,211
eil101,F,2947.0,1827
eil101,G,3054.0,1257
eil101,G2,3003.0,992
eil101,G3_1,2978.0,1266
eil101,G3_2,3005.0,711
eil101,G3_3,3104.0,1162
eil101,G4_1,2893.0,2237
eil101,G4_2,3112.0,1181
eil101,G4_3,2934.0000000000005,1801
eil101,G6_V1_1,2960.0,2053
eil101,G6_V1_2,3031.0000000000005,338
eil101,G6_V1_3,3056.0,1358
eil101,G6_V0_1,3088.0,1902
eil101,G6_V0_2,2943.0,1695
eil101,G6_V0_3,3025.0,289
eil101,Const_100,3009,2101
eil101,Linear,2934,2127
eil101,ReciprocalV1,3046,1222
eil101,ReciprocalV2,2888,1895
eil101,GeometricV1,3070,1413
eil101,GeometricV2,3036,1406
eil101,LogarithmicV1,2931,286
eil101,LogarithmicV2,3038,962
rat195,E,20444.999999999996,2751
rat195,F,20397.999999999996,657
rat195,G,19441.0,3694
rat195,G2,19949.0,2454
rat195,G3_1,20198.999999999996,728
rat195,G3_2,20441.0,1418
rat195,G3_3,20508.0,3252
rat195,G4_1,20537.0,465
rat195,G4_2,20485.999999999996,1874
rat195,G4_3,20424.0,687
rat195,G6_V1_1,19752.0,728
rat195,G6_V1_2,20323.0,3611
rat195,G6_V1_3,20721.0,84
rat195,G6_V0_1,20046.999999999996,3419
rat195,G6_V0_2,20702.0,4628
rat195,G6_V0_3,20349.0,3147
rat195,Const_100,20247,2461
rat195,Linear,19322,4307
rat195,ReciprocalV1,20604,457
rat195,ReciprocalV2,20193,1242
rat195,GeometricV1,20113,319
rat195,GeometricV2,20632,2688
rat195,LogarithmicV1,20435,3297
rat195,LogarithmicV2,20044,981
brazil58,E,101637.0,1136
brazil58,F,103348.0,1294
brazil58,G,95869.99999999999,258
brazil58,G2,107380.99999999999,45
brazil58,G3_1,97815.99999999999,1442
brazil58,G3_2,106033.0,258
brazil58,G3_3,102866.0,431
brazil58,G4_1,104589.0,373
brazil58,G4_2,98371.0,939
brazil58,G4_3,98977.0,834
brazil58,G6_V1_1,100170.0,1453
brazil58,G6_V1_2,100669.99999999999,1399
brazil58,G6_V1_3,105145.99999999999,655
brazil58,G6_V0_1,99639.0,207
brazil58,G6_V0_2,100898.0,1218
brazil58,G6_V0_3,104240.99999999999,772
brazil58,Const_100,105896,188
brazil58,Linear,104566,699
brazil58,ReciprocalV1,106316,388
brazil58,ReciprocalV2,101155,1216
brazil58,GeometricV1,101136,1345
brazil58,GeometricV2,105903,1221
brazil58,LogarithmicV1,101488,1226
brazil58,LogarithmicV2,98190,225
kroB150,E,230786.0,317
kroB150,F,221851.0,1347
kroB150,G,219706.0,231
kroB150,G2,229541.0,773
kroB150,G3_1,220109.0,881
kroB150,G3_2,227612.0,2580
kroB150,G3_3,230840.0,2730
kroB150,G4_1,228229.0,2725
kroB150,G4_2,225483.0,3001
kroB150,G4_3,224324.0,2453
kroB150,G6_V1_1,232640.0,2417
kroB150,G6_V1_2,220921.0,1642
kroB150,G6_V1_3,227195.0,1765
kroB150,G6_V0_1,227071.0,1557
kroB150,G6_V0_2,228995.0,1048
kroB150,G6_V0_3,234147.0,2541
kroB150,Const_100,227139,1320
kroB150,Linear,228082,2633
kroB150,ReciprocalV1,224334,1516
kroB150,ReciprocalV2,227254,771
kroB150,GeometricV1,221911,2742
kroB150,GeometricV2,233443,681
kroB150,LogarithmicV1,233690,538
kroB150,LogarithmicV2,223772,2223
u159,E,409785.0,3012
u159,F,390236.0,3266
u159,G,380424.0,219
u159,G2,405611.0,910
u159,G3_1,412054.0,1195
u159,G3_2,401254.0,183
u159,G3_3,396134.0,2466
u159,G4_1,400636.0,70
u159,G4_2,401008.0,1430
u159,G4_3,402803.0,204
u159,G6_V1_1,387094.0,3249
u159,G6_V1_2,399646.0,2976
u159,G6_V1_3,401669.0,2748
u159,G6_V0_1,388891.0,1061
u159,G6_V0_2,406862.0,2220
u159,G6_V0_3,398977.0,3179
u159,Const_100,397435,363
u159,Linear,387357,949
u159,ReciprocalV1,409612,2288
u159,ReciprocalV2,391734,2519
u159,GeometricV1,402608,187
u159,GeometricV2,404113,799
u159,LogarithmicV1,400947,491
u159,LogarithmicV2,391424,414
fl417,E,457443.0,2234
fl417,F,460405.0,657
fl417,G,450847.0,447
fl417,G2,452575.00000000006,6046
fl417,G3_1,453619.0,538
fl417,G3_2,460061.0,9323
fl417,G3_3,453208.0,988
fl417,G4_1,454008.0,4288
fl417,G4_2,459145.0,1333
fl417,G4_3,457684.0,2316
fl417,G6_V1_1,432050.0,4483
fl417,G6_V1_2,454412.00000000006,281
fl417,G6_V1_3,452497.00000000006,4448
fl417,G6_V0_1,458070.0,2296
fl417,G6_V0_2,460329.00000000006,1902
fl417,G6_V0_3,449766.0,3817
fl417,Const_100,454175,6031
fl417,Linear,446419,5966
fl417,ReciprocalV1,453986,1895
fl417,ReciprocalV2,460865,1595
fl417,GeometricV1,452814,1119
fl417,GeometricV2,443875,2954
fl417,LogarithmicV1,446467,4955
fl417,LogarithmicV2,449303,1756
ts225,E,1459938.0,3612
ts225,F,1438667.0,241
ts225,G,1440953.0,3086
ts225,G2,1444062.0,5008
ts225,G3_1,1443235.0,574
ts225,G3_2,1454661.0,4710
ts225,G3_3,1464915.0,1949
ts225,G4_1,1488986.0,1864
ts225,G4_2,1445743.0,268
ts225,G4_3,1464648.0,718
ts225,G6_V1_1,1473117.0,4341
ts225,G6_V1_2,1462841.0,4325
ts225,G6_V1_3,1429332.0,386
ts225,G6_V0_1,1469421.0,3784
ts225,G6_V0_2,1467253.0,4019
ts225,G6_V0_3,1465035.0,719
ts225,Const_100,1484729,2604
ts225,Linear,1463117,3474
ts225,ReciprocalV1,1433868,3537
ts225,ReciprocalV2,1439267,2974
ts225,GeometricV1,1483560,2082
ts225,GeometricV2,1480163,317
ts225,LogarithmicV1,1478558,2503
ts225,LogarithmicV2,1415161,1071
pr226,E,1511101.0000000002,4038
pr226,F,1525821.0,589
pr226,G,1551993.0000000002,1249
pr226,G2,1537138.0,423
pr226,G3_1,1511148.0000000002,1567
pr226,G3_2,1563766.0,1753
pr226,G3_3,1558944.0,4602
pr226,G4_1,1539905.0,3481
pr226,G4_2,1518039.0000000002,2278
pr226,G4_3,1531773.0000000002,1567
pr226,G6_V1_1,1551120.0,4092
pr226,G6_V1_2,1517097.0000000002,330
pr226,G6_V1_3,1528892.0,309
pr226,G6_V0_1,1529898.0000000002,1097
pr226,G6_V0_2,1555275.0,3973
pr226,G6_V0_3,1507798.0,1624
pr226,Const_100,1529706,2937
pr226,Linear,1512931,631
pr226,ReciprocalV1,1572880,4203
pr226,ReciprocalV2,1528525,4324
pr226,GeometricV1,1552005,3846
pr226,GeometricV2,1520265,3108
pr226,LogarithmicV1,1512563,3314
pr226,LogarithmicV2,1541596,598
d493,E,419331.00000000006,3063
d493,F,413563.00000000006,500
d493,G,426950.00000000006,5158
d493,G2,420218.0,9596
d493,G3_1,424522.0,2314
d493,G3_2,424592.0,4804
d493,G3_3,417976.00000000006,2864
d493,G4_1,422801.0,5716
d493,G4_2,426522.0,3489
d493,G4_3,416235.0,275
d493,G6_V1_1,419271.00000000006,7017
d493,G6_V1_2,427112.99999999994,2942
d493,G6_V1_3,425363.00000000006,6489
d493,G6_V0_1,426583.00000000006,4315
d493,G6_V0_2,421201.0,9591
d493,G6_V0_3,425481.00000000006,7774
d493,Const_100,419139,93
d493,Linear,420365,6130
d493,ReciprocalV1,426197,6116
d493,ReciprocalV2,414082,4247
d493,GeometricV1,419763,593
d493,GeometricV2,420693,2001
d493,LogarithmicV1,420076,4638
d493,LogarithmicV2,418521,6160
gil262,E,24601.0,2568
gil262,F,24744.0,4315
gil262,G,24399.0,433
gil262,G2,23745.0,267
gil262,G3_1,24141.0,869
gil262,G3_2,24618.0,2470
gil262,G3_3,23948.0,5269
gil262,G4_1,23994.0,2309
gil262,G4_2,24755.0,2097
gil262,G4_3,24387.0,3070
gil262,G6_V1_1,24698.0,4864
