dim,ts_name,best_value,steps_to_best_value
135,E,87194.1452966202,17735
135,F_2,88651.89261275124,11165
135,G,87813.98509408029,1235
135,G2,87885.50523334,25745
135,G3_1,85993.05466829202,20965
135,G3_2,87819.3778853364,12345
135,G3_3,86308.20045675144,9935
135,G4_1,87938.57995499615,1205
135,G4_2,86580.36871749152,3425
135,G4_3,88664.9968809723,6145
135,G6_V1_1,87805.05714376562,11515
135,G6_V1_2,87826.93927246824,15775
135,G6_V1_3,88541.07130468896,11165
135,G6_V0_1,87811.75921206285,9095
135,G6_V0_2,88247.75149303356,17275
135,G6_V0_3,86225.98502509372,15995
135,Const_100,87484.56498622583,26331
135,Linear,87652.59648739651,25897
135,ReciprocalV1,86382.68322610829,2353
135,ReciprocalV2,88183.04986807119,23695
135,GeometricV1,86185.51228159099,20075
135,GeometricV2,87255.40045694774,19033
135,LogarithmicV1,84888.62405634497,7246
135,LogarithmicV2,85911.78176789572,7926
53,E,12053.2535753882,12835
53,F_2,11751.713210705777,12105
53,G,11009.782773336075,9885
53,G2,11275.537003472256,2875
53,G3_1,11456.452951759406,9365
53,G3_2,11682.52767082693,6315
53,G3_3,11736.76685391019,11185
53,G4_1,11852.107829549845,11335
53,G4_2,11692.453904178798,9915
53,G4_3,11940.622873109702,7415
53,G6_V1_1,11911.668326591338,10295
53,G6_V1_2,11127.102367316436,45
53,G6_V1_3,11552.342720593224,6055
53,G6_V0_1,11645.786923291556,6635
53,G6_V0_2,11134.381667471878,5005
53,G6_V0_3,11944.754003999866,8595
53,Const_100,11420.11544789758,3086
53,Linear,11890.099148366891,13549
53,ReciprocalV1,11401.142006396489,10854
53,ReciprocalV2,11616.527710767328,2637
53,GeometricV1,11454.622159053126,8741
53,GeometricV2,11921.941142814769,2561
53,LogarithmicV1,10902.533382532174,11672
53,LogarithmicV2,12034.369824952551,10778
94,E,39014.80445391096,9805
94,F_2,40369.02382941838,785
94,G,40269.374040019786,13675
94,G2,40441.53051857121,8285
94,G3_1,39911.61809010021,18395
94,G3_2,39791.58542782355,20515
94,G3_3,39918.71049273113,4935
94,G4_1,39571.14910605347,9905
94,G4_2,40324.93387232084,1195
94,G4_3,39292.54968444409,7255
94,G6_V1_1,38930.144000044704,3885
94,G6_V1_2,39428.97330537803,13835
94,G6_V1_3,39555.57160743919,3805
94,G6_V0_1,40177.75602138271,9995
