dim,ts_name,best_value,steps_to_best_value
kroB150,E d,218823.0,270
kroB150,F d,211600.0,1765
kroB150,G d,221895.0,295
kroB150,G2 d,220320.0,1866
kroB150,G3_1 d,218333.0,489
kroB150,G4_1 d,220109.0,1131
kroB150,G6_V1_3 d,219972.0,2930
kroB150,G6_V0_1 d,214725.0,1734
kroB150,E s,223312.0,2
kroB150,F s,221545.0,183
kroB150,G s,218045.0,275
kroB150,G2 s,218562.0,353
kroB150,G3_1 s,216782.0,3018
kroB150,G4_1 s,209250.99999999997,3135
kroB150,G6_V1_3 s,212724.0,1349
kroB150,G6_V0_1 s,218146.0,2975
kroB150,Linear,216431,13182
kroB150,GeometricV1,218370,6991
kroB150,GeometricV2,215873,21837
kroB150,LogarithmicV1,213726,7579
kroB150,LogarithmicV2,213661,26103
kroB200,E d,289898.0,4088
kroB200,F d,294578.99999999994,3563
kroB200,G d,291953.99999999994,1037
kroB200,G2 d,288558.0,4426
kroB200,G3_1 d,278459.0,518
kroB200,G4_1 d,282951.0,3550
kroB200,G6_V1_3 d,293865.0,676
kroB200,G6_V0_1 d,287248.0,4124
kroB200,E s,287089.0,4183
kroB200,F s,283438.0,3282
kroB200,G s,294136.0,2618
kroB200,G2 s,290404.0,2358
kroB200,G3_1 s,288662.0,1850
kroB200,G4_1 s,291408.0,3007
kroB200,G6_V1_3 s,285036.0,2293
kroB200,G6_V0_1 s,293256.0,1235
kroB200,Linear,287989,33037
kroB200,GeometricV1,281223,11284
kroB200,GeometricV2,284438,31115
kroB200,LogarithmicV1,288462,40983
kroB200,LogarithmicV2,292927,36345
kroA150,E d,220333.99999999997,1430
kroA150,F d,223375.99999999997,224
kroA150,G d,222268.0,2281
kroA150,G2 d,216220.99999999997,36
kroA150,G3_1 d,216536.0,2711
kroA150,G4_1 d,220478.99999999997,2223
kroA150,G6_V1_3 d,218954.0,2028
kroA150,G6_V0_1 d,212929.0,2003
kroA150,E s,222334.99999999997,177
kroA150,F s,212580.99999999997,80
kroA150,G s,219616.99999999997,1001
kroA150,G2 s,220024.99999999997,550
kroA150,G3_1 s,219680.99999999997,2162
kroA150,G4_1 s,225233.99999999997,3157
kroA150,G6_V1_3 s,217745.99999999997,2457
kroA150,G6_V0_1 s,218705.99999999997,3083
kroA150,Linear,219198,11753
kroA150,GeometricV1,224591,7112
kroA150,GeometricV2,224201,28821
kroA150,LogarithmicV1,221014,22991
kroA150,LogarithmicV2,218640,9266
kroA100,E d,140018.0,1535
kroA100,F d,135861.0,2231
kroA100,G d,136708.0,989
kroA100,G2 d,144096.0,914
kroA100,G3_1 d,139208.0,1827
kroA100,G4_1 d,138542.0,1160
kroA100,G6_V1_3 d,140864.0,546
kroA100,G6_V0_1 d,137769.0,494
kroA100,E s,142693.0,110
kroA100,F s,138949.0,1678
kroA100,G s,132132.0,1991
kroA100,G2 s,143494.0,564
kroA100,G3_1 s,141730.0,1995
kroA100,G4_1 s,139756.0,1387
kroA100,G6_V1_3 s,141763.0,1370
kroA100,G6_V0_1 s,140935.0,1673
kroA100,Linear,138461,3496
kroA100,GeometricV1,137701,14546
kroA100,GeometricV2,140673,14373
kroA100,LogarithmicV1,141475,9814
kroA100,LogarithmicV2,135777,8579
kroA150,E d,222512.0,3020
kroA150,F d,223856.99999999997,2348
kroA150,G d,222580.0,2521
kroA150,G2 d,218068.99999999997,1719
kroA150,G3_1 d,220345.99999999997,1573
kroA150,G4_1 d,213548.99999999997,3007
kroA150,G6_V1_3 d,221233.0,1280
kroA150,G6_V0_1 d,220127.99999999997,1899
kroA150,E s,221666.99999999997,2858
kroA150,F s,216203.0,2294
kroA150,G s,219569.0,2613
kroA150,G2 s,215845.0,1624
kroA150,G3_1 s,217131.99999999997,18
kroA150,G4_1 s,218672.99999999997,1529
kroA150,G6_V1_3 s,220135.0,1137
kroA150,G6_V0_1 s,220547.0,436
kroA150,Linear,216014,20324
kroA150,GeometricV1,214503,13418
kroA150,GeometricV2,218947,27770
kroA150,LogarithmicV1,222075,19838
kroA150,LogarithmicV2,213206,13349
kroB200,E d,290748.0,3435
kroB200,F d,292686.99999999994,4900
kroB200,G d,281898.99999999994,4425
kroB200,G2 d,286482.99999999994,3428
kroB200,G3_1 d,292060.0,2259
kroB200,G4_1 d,290329.0,3877
kroB200,G6_V1_3 d,290772.0,4041
kroB200,G6_V0_1 d,293929.0,3095
kroB200,E s,290587.0,4350
kroB200,F s,296095.0,331
kroB200,G s,285071.0,970
kroB200,G2 s,292352.99999999994,3130
kroB200,G3_1 s,283352.0,2772
kroB200,G4_1 s,292558.99999999994,2337
kroB200,G6_V1_3 s,287466.0,4817
kroB200,G6_V0_1 s,289203.0,1333
kroB200,Linear,293646,25884
kroB200,GeometricV1,292425,46704
kroB200,GeometricV2,291146,37876
kroB200,LogarithmicV1,292279,17724
kroB200,LogarithmicV2,290124,28646
kroA200,E d,299314.0,3097
kroA200,F d,295721.0,21
kroA200,G d,298521.00000000006,3112
kroA200,G2 d,296316.00000000006,3054
