dim,ts_name,best_value,steps_to_best_value
kroB100,E d,136908.0,1337
kroB100,F d,141144.0,389
kroB100,G d,137167.0,1372
kroB100,G2 d,136626.0,1936
kroB100,G3_1 d,136042.0,1413
kroB100,G4_1 d,134363.0,385
kroB100,G6_V1_3 d,137992.0,717
kroB100,G6_V0_1 d,138524.0,1562
kroB100,E s,139921.0,424
kroB100,F s,140191.0,2206
kroB100,G s,137796.0,490
kroB100,G2 s,138213.0,1651
kroB100,G3_1 s,140177.0,386
kroB100,G4_1 s,140123.0,703
kroB100,G6_V1_3 s,132218.0,1604
kroB100,G6_V0_1 s,138652.0,451
kroB100,Linear,136875,5432
kroB100,GeometricV1,140050,19081
kroB100,GeometricV2,137142,9010
kroB100,LogarithmicV1,137074,3204
kroB100,LogarithmicV2,140018,8594
kroB100,E d,132883.0,1919
kroB100,F d,139268.0,2064
kroB100,G d,142223.0,2197
kroB100,G2 d,141676.0,1124
kroB100,G3_1 d,133266.0,1050
kroB100,G4_1 d,140371.0,1979
kroB100,G6_V1_3 d,140182.0,58
kroB100,G6_V0_1 d,139768.0,1355
kroB100,E s,138960.0,53
kroB100,F s,142801.0,2257
kroB100,G s,139915.0,1429
kroB100,G2 s,135848.0,1363
kroB100,G3_1 s,137407.0,1154
kroB100,G4_1 s,138416.0,1757
kroB100,G6_V1_3 s,139917.0,1969
kroB100,G6_V0_1 s,139599.0,1270
kroB100,Linear,142509,4291
kroB100,GeometricV1,139844,21256
kroB100,GeometricV2,140656,19850
kroB100,LogarithmicV1,137908,8416
kroB100,LogarithmicV2,140091,8829
kroB100,E d,138206.0,1680
kroB100,F d,138928.0,2013
kroB100,G d,142440.0,981
kroB100,G2 d,140901.0,31
kroB100,G3_1 d,142873.0,1023
kroB100,G4_1 d,138691.0,368
kroB100,G6_V1_3 d,136693.0,854
kroB100,G6_V0_1 d,131874.0,236
kroB100,E s,138899.0,1684
kroB100,F s,138887.0,474
kroB100,G s,138025.0,256
kroB100,G2 s,138991.0,904
kroB100,G3_1 s,142139.0,1424
kroB100,G4_1 s,138849.0,1256
kroB100,G6_V1_3 s,138295.0,499
kroB100,G6_V0_1 s,134243.0,1656
kroB100,Linear,137406,3055
kroB100,GeometricV1,141435,14805
kroB100,GeometricV2,142626,12636
kroB100,LogarithmicV1,129424,9988
kroB100,LogarithmicV2,136900,1403
kroB200,E d,288808.0,4399
kroB200,F d,288600.0,1309
kroB200,G d,288293.0,306
kroB200,G2 d,287377.0,4802
kroB200,G3_1 d,287800.0,3883
kroB200,G4_1 d,291763.0,3143
kroB200,G6_V1_3 d,294302.0,1056
kroB200,G6_V0_1 d,291207.99999999994,2711
kroB200,E s,290218.0,2529
kroB200,F s,291570.0,3961
kroB200,G s,291262.0,1360
kroB200,G2 s,286515.0,1994
kroB200,G3_1 s,290022.99999999994,2196
kroB200,G4_1 s,291401.99999999994,538
kroB200,G6_V1_3 s,288998.0,2908
kroB200,G6_V0_1 s,292093.0,4461
kroB200,Linear,290532,46389
kroB200,GeometricV1,292201,46763
kroB200,GeometricV2,290933,17696
kroB200,LogarithmicV1,288253,40192
kroB200,LogarithmicV2,293229,5789
kroA200,E d,297060.0,4900
kroA200,F d,293005.0,1939
kroA200,G d,290069.00000000006,4495
kroA200,G2 d,290669.0,1800
kroA200,G3_1 d,296027.0,2096
kroA200,G4_1 d,298983.00000000006,4314
kroA200,G6_V1_3 d,297275.0,3738
kroA200,G6_V0_1 d,297767.00000000006,1168
kroA200,E s,298081.0,565
kroA200,F s,296546.00000000006,1491
kroA200,G s,297175.0,3241
kroA200,G2 s,300216.0,4873
kroA200,G3_1 s,292992.00000000006,3159
kroA200,G4_1 s,287084.00000000006,752
kroA200,G6_V1_3 s,294346.0,1714
kroA200,G6_V0_1 s,293023.0,283
kroA200,Linear,293424,2706
kroA200,GeometricV1,301936,3959
kroA200,GeometricV2,302075,24889
kroA200,LogarithmicV1,294426,31501
kroA200,LogarithmicV2,299291,49789
kroB150,E d,216518.0,2373
kroB150,F d,221605.0,1131
kroB150,G d,215608.99999999997,1983
kroB150,G2 d,220300.0,2441
kroB150,G3_1 d,218705.99999999997,1698
kroB150,G4_1 d,218517.0,134
kroB150,G6_V1_3 d,215944.0,1335
kroB150,G6_V0_1 d,218349.0,1271
kroB150,E s,218850.0,2714
kroB150,F s,217770.0,1395
kroB150,G s,218183.0,547
kroB150,G2 s,215685.0,2870
kroB150,G3_1 s,219912.0,1635
kroB150,G4_1 s,215278.0,2022
kroB150,G6_V1_3 s,212608.0,1913
kroB150,G6_V0_1 s,213932.0,1886
kroB150,Linear,220623,8082
kroB150,GeometricV1,215015,12050
kroB150,GeometricV2,215616,20618
kroB150,LogarithmicV1,222471,24027
kroB150,LogarithmicV2,220616,9856
kroA100,E d,138474.0,2176
kroA100,F d,140000.0,1309
kroA100,G d,140148.0,2076
kroA100,G2 d,134600.0,2251
kroA100,G3_1 d,140035.0,693
kroA100,G4_1 d,143677.0,1919
kroA100,G6_V1_3 d,140715.0,1270
kroA100,G6_V0_1 d,139540.0,1932
kroA100,E s,143764.0,931
kroA100,F s,144711.0,2199
kroA100,G s,138480.0,1773
kroA100,G2 s,141597.0,2119
kroA100,G3_1 s,145741.0,1061
kroA100,G4_1 s,137955.0,137
kroA100,G6_V1_3 s,140064.0,954
kroA100,G6_V0_1 s,137338.0,1460
kroA100,Linear,142685,19003
kroA100,GeometricV1,139710,12862
kroA100,GeometricV2,142843,2418
kroA100,LogarithmicV1,141311,18900
kroA100,LogarithmicV2,139789,22082
kroB200,E d,291280.0,1990
kroB200,F d,290096.0,313
kroB200,G d,288021.0,1063
kroB200,G2 d,292382.0,1816
kroB200,G3_1 d,292909.0,1465
kroB200,G4_1 d,284036.99999999994,4428
kroB200,G6_V1_3 d,292855.99999999994,2611
kroB200,G6_V0_1 d,293385.0,299
kroB200,E s,288539.0,2538
kroB200,F s,287437.0,1254
kroB200,G s,289328.99999999994,1632
kroB200,G2 s,284022.99999999994,1140
kroB200,G3_1 s,291334.99999999994,4102
kroB200,G4_1 s,294184.0,2768
kroB200,G6_V1_3 s,293059.0,1442
kroB200,G6_V0_1 s,291759.0,619
kroB200,Linear,292974,28853
kroB200,GeometricV1,290955,11586
kroB200,GeometricV2,290325,18819
kroB200,LogarithmicV1,289735,38396
kroB200,LogarithmicV2,287868,42715
kroB200,E d,291330.0,3427
kroB200,F d,283669.0,2632
kroB200,G d,292469.99999999994,1154
kroB200,G2 d,288495.0,3542
kroB200,G3_1 d,295750.0,643
kroB200,G4_1 d,273525.0,3113
kroB200,G6_V1_3 d,290675.0,4840
kroB200,G6_V0_1 d,287389.0,1262
kroB200,E s,287824.0,2366
kroB200,F s,280354.99999999994,4212
kroB200,G s,292907.99999999994,86
kroB200,G2 s,290812.0,1896
kroB200,G3_1 s,285926.0,2212
kroB200,G4_1 s,295121.99999999994,4063
kroB200,G6_V1_3 s,289861.0,563
kroB200,G6_V0_1 s,293046.99999999994,3971
kroB200,Linear,283574,48912
kroB200,GeometricV1,286787,33502
kroB200,GeometricV2,291885,22453
kroB200,LogarithmicV1,290343,714
kroB200,LogarithmicV2,295196,21476
kroA100,E d,143859.0,2087
kroA100,F d,140746.0,1381
kroA100,G d,138932.0,1990
kroA100,G2 d,142032.0,1271
kroA100,G3_1 d,142091.0,1090
kroA100,G4_1 d,146163.0,1415
kroA100,G6_V1_3 d,141941.0,1618
kroA100,G6_V0_1 d,143419.0,912
kroA100,E s,144909.0,1137
kroA100,F s,143988.0,2269
kroA100,G s,144545.0,2222
kroA100,G2 s,139504.0,153
kroA100,G3_1 s,142082.0,1165
kroA100,G4_1 s,142438.0,1268
kroA100,G6_V1_3 s,141266.0,1412
kroA100,G6_V0_1 s,140831.0,1302
kroA100,Linear,137205,8042
kroA100,GeometricV1,144694,6955
kroA100,GeometricV2,143155,559
kroA100,LogarithmicV1,140612,19044
kroA100,LogarithmicV2,140819,16017
kroA200,E d,296751.0,4739
kroA200,F d,287509.00000000006,2919
kroA200,G d,301569.0,1552
kroA200,G2 d,293090.0,3635
kroA200,G3_1 d,295548.0,765
kroA200,G4_1 d,294921.0,1950
kroA200,G6_V1_3 d,288577.0,2656
kroA200,G6_V0_1 d,298559.0,2152
kroA200,E s,298476.0,4487
kroA200,F s,299741.0,4274
kroA200,G s,301190.00000000006,1555
kroA200,G2 s,294881.00000000006,793
kroA200,G3_1 s,290566.00000000006,2251
kroA200,G4_1 s,302561.00000000006,1809
kroA200,G6_V1_3 s,294374.0,1450
kroA200,G6_V0_1 s,285501.0,262
kroA200,Linear,286953,25104
kroA200,GeometricV1,295306,4610
kroA200,GeometricV2,294610,8018
kroA200,LogarithmicV1,292567,15050
kroA200,LogarithmicV2,291683,6391
kroA200,E d,295335.0,3452
kroA200,F d,299461.00000000006,1510
kroA200,G d,297694.0,904
kroA200,G2 d,300075.0,3664
kroA200,G3_1 d,301975.0,806
kroA200,G4_1 d,297938.00000000006,3055
kroA200,G6_V1_3 d,285034.0,2287
kroA200,G6_V0_1 d,293837.0,1438
kroA200,E s,298594.0,1746
kroA200,F s,289017.0,3514
kroA200,G s,295579.00000000006,2051
kroA200,G2 s,294744.0,4440
kroA200,G3_1 s,295962.0,2547
kroA200,G4_1 s,295761.0,1359
kroA200,G6_V1_3 s,296822.0,4595
kroA200,G6_V0_1 s,297357.0,3436
kroA200,Linear,294704,27167
kroA200,GeometricV1,296689,5217
kroA200,GeometricV2,292081,23489
kroA200,LogarithmicV1,290878,14761
kroA200,LogarithmicV2,286628,5669
kroA150,E d,219255.99999999997,2394
kroA150,F d,220861.99999999997,1483
kroA150,G d,222742.99999999997,2900
kroA150,G2 d,221854.99999999997,1126
kroA150,G3_1 d,218497.99999999997,1815
kroA150,G4_1 d,221471.99999999997,688
kroA150,G6_V1_3 d,217303.99999999997,1967
kroA150,G6_V0_1 d,216252.99999999997,2118
kroA150,E s,219941.99999999997,3073
kroA150,F s,219761.99999999997,1904
kroA150,G s,220648.99999999997,1035
kroA150,G2 s,216109.99999999997,1216
kroA150,G3_1 s,220035.0,1962
kroA150,G4_1 s,213970.0,2367
kroA150,G6_V1_3 s,211772.99999999997,515
kroA150,G6_V0_1 s,216523.99999999997,2932
kroA150,Linear,220934,5988
kroA150,GeometricV1,225935,28316
kroA150,GeometricV2,214939,16355
kroA150,LogarithmicV1,223051,19628
kroA150,LogarithmicV2,217798,4758
kroA200,E d,296067.0,4735
kroA200,F d,296088.0,1014
