dim,ts_name,best_value,steps_to_best_value
kroB150,E d,499.676,0
kroB150,F d,499.676,0
kroB150,G d,499.676,0
kroB150,G2 d,499.676,0
kroB150,G3_1 d,499.676,0
kroB150,G3_2,499.676,0
kroB150,G3_3,499.676,0
kroB150,G4_1 d,499.676,0
kroB150,G4_2,499.676,0
kroB150,G4_3,499.676,0
kroB150,G6_V1_1,499.676,0
kroB150,G6_V1_2,499.676,0
kroB150,G6_V1_3 d,499.676,0
kroB150,G6_V0_1 d,499.676,0
kroB150,G6_V0_2,499.676,0
kroB150,G6_V0_3,499.676,0
kroB150,E s,499.676,0
kroB150,F s,499.676,0
kroB150,G s,499.676,0
kroB150,G2 s,499.676,0
kroB150,G3_1 s,499.676,0
kroB150,G4_1 s,499.676,0
kroB150,G6_V1_3 s,499.676,0
kroB150,G6_V0_1 s,499.676,0
kroB150,Const_100,211788,5641
kroB150,Linear,212096,8702
kroB150,ReciprocalV1,218094,36773
kroB150,ReciprocalV2,215016,31987
kroB150,GeometricV1,214372,42377
kroB150,GeometricV2,215800,57915
kroB150,LogarithmicV1,211055,8867
kroB150,LogarithmicV2,211674,6321
kroA150,E d,499.87,0
kroA150,F d,499.87,0
kroA150,G d,499.87,0
kroA150,G2 d,499.87,0
kroA150,G3_1 d,499.87,0
kroA150,G3_2,499.87,0
kroA150,G3_3,499.87,0
kroA150,G4_1 d,499.87,0
kroA150,G4_2,499.87,0
kroA150,G4_3,499.87,0
kroA150,G6_V1_1,499.87,0
kroA150,G6_V1_2,499.87,0
kroA150,G6_V1_3 d,499.87,0
kroA150,G6_V0_1 d,499.87,0
kroA150,G6_V0_2,499.87,0
kroA150,G6_V0_3,499.87,0
kroA150,E s,499.87,0
kroA150,F s,499.87,0
kroA150,G s,499.87,0
kroA150,G2 s,499.87,0
kroA150,G3_1 s,499.87,0
kroA150,G4_1 s,499.87,0
kroA150,G6_V1_3 s,499.87,0
kroA150,G6_V0_1 s,499.87,0
kroA150,Const_100,218177,3121
kroA150,Linear,215927,24620
kroA150,ReciprocalV1,211315,24305
kroA150,ReciprocalV2,209896,61256
kroA150,GeometricV1,216756,51438
kroA150,GeometricV2,216005,50821
kroA150,LogarithmicV1,218547,41569
kroA150,LogarithmicV2,215325,2612
st70,E d,6.93,0
st70,F d,6.93,0
st70,G d,6.93,0
st70,G2 d,6.93,0
st70,G3_1 d,6.93,0
st70,G3_2,6.93,0
st70,G3_3,6.93,0
st70,G4_1 d,6.93,0
st70,G4_2,6.93,0
st70,G4_3,6.93,0
st70,G6_V1_1,6.93,0
st70,G6_V1_2,6.93,0
st70,G6_V1_3 d,6.93,0
st70,G6_V0_1 d,6.93,0
st70,G6_V0_2,6.93,0
st70,G6_V0_3,6.93,0
st70,E s,6.93,0
st70,F s,6.93,0
st70,G s,6.93,0
st70,G2 s,6.93,0
st70,G3_1 s,6.93,0
st70,G4_1 s,6.93,0
st70,G6_V1_3 s,6.93,0
st70,G6_V0_1 s,6.93,0
st70,Const_100,3013,1555
st70,Linear,2767,23661
st70,ReciprocalV1,2971,18505
st70,ReciprocalV2,2970,2310
st70,GeometricV1,2888,21548
st70,GeometricV2,3009,14817
st70,LogarithmicV1,2955,15602
st70,LogarithmicV2,3026,11683
kroB100,E d,331.823,0
kroB100,F d,331.823,0
kroB100,G d,331.823,0
kroB100,G2 d,331.823,0
kroB100,G3_1 d,331.823,0
kroB100,G3_2,331.823,0
kroB100,G3_3,331.823,0
kroB100,G4_1 d,331.823,0
kroB100,G4_2,331.823,0
kroB100,G4_3,331.823,0
kroB100,G6_V1_1,331.823,0
kroB100,G6_V1_2,331.823,0
kroB100,G6_V1_3 d,331.823,0
kroB100,G6_V0_1 d,331.823,0
kroB100,G6_V0_2,331.823,0
kroB100,G6_V0_3,331.823,0
kroB100,E s,331.823,0
kroB100,F s,331.823,0
kroB100,G s,331.823,0
kroB100,G2 s,331.823,0
kroB100,G3_1 s,331.823,0
kroB100,G4_1 s,331.823,0
kroB100,G6_V1_3 s,331.823,0
kroB100,G6_V0_1 s,331.823,0
kroB100,Const_100,136448,8974
kroB100,Linear,138473,39749
kroB100,ReciprocalV1,133141,36874
kroB100,ReciprocalV2,136924,32348
kroB100,GeometricV1,138760,12352
kroB100,GeometricV2,138358,20981
kroB100,LogarithmicV1,140878,5004
kroB100,LogarithmicV2,132936,45022
st70,E d,6.93,0
st70,F d,6.93,0
st70,G d,6.93,0
st70,G2 d,6.93,0
st70,G3_1 d,6.93,0
st70,G3_2,6.93,0
st70,G3_3,6.93,0
st70,G4_1 d,6.93,0
st70,G4_2,6.93,0
st70,G4_3,6.93,0
st70,G6_V1_1,6.93,0
st70,G6_V1_2,6.93,0
st70,G6_V1_3 d,6.93,0
st70,G6_V0_1 d,6.93,0
st70,G6_V0_2,6.93,0
st70,G6_V0_3,6.93,0
st70,E s,6.93,0
st70,F s,6.93,0
st70,G s,6.93,0
st70,G2 s,6.93,0
st70,G3_1 s,6.93,0
st70,G4_1 s,6.93,0
st70,G6_V1_3 s,6.93,0
st70,G6_V0_1 s,6.93,0
st70,Const_100,2949,18233
st70,Linear,2925,5032
st70,ReciprocalV1,2815,4028
st70,ReciprocalV2,3035,23017
st70,GeometricV1,3015,14628
st70,GeometricV2,2997,20254
st70,LogarithmicV1,2881,27675
st70,LogarithmicV2,2977,19376
kroB150,E d,499.676,0
kroB150,F d,499.676,0
kroB150,G d,499.676,0
kroB150,G2 d,499.676,0
kroB150,G3_1 d,499.676,0
kroB150,G3_2,499.676,0
kroB150,G3_3,499.676,0
kroB150,G4_1 d,499.676,0
kroB150,G4_2,499.676,0
kroB150,G4_3,499.676,0
kroB150,G6_V1_1,499.676,0
kroB150,G6_V1_2,499.676,0
kroB150,G6_V1_3 d,499.676,0
kroB150,G6_V0_1 d,499.676,0
kroB150,G6_V0_2,499.676,0
kroB150,G6_V0_3,499.676,0
kroB150,E s,499.676,0
kroB150,F s,499.676,0
kroB150,G s,499.676,0
kroB150,G2 s,499.676,0
kroB150,G3_1 s,499.676,0
kroB150,G4_1 s,499.676,0
kroB150,G6_V1_3 s,499.676,0
kroB150,G6_V0_1 s,499.676,0
kroB150,Const_100,211677,23263
kroB150,Linear,217413,46938
kroB150,ReciprocalV1,219133,46828
kroB150,ReciprocalV2,211301,54666
kroB150,GeometricV1,207772,21543
kroB150,GeometricV2,221616,18767
kroB150,LogarithmicV1,219241,50861
kroB150,LogarithmicV2,216657,16897
kroA100,E d,329.548,0
kroA100,F d,329.548,0
kroA100,G d,329.548,0
kroA100,G2 d,329.548,0
kroA100,G3_1 d,329.548,0
kroA100,G3_2,329.548,0
kroA100,G3_3,329.548,0
kroA100,G4_1 d,329.548,0
kroA100,G4_2,329.548,0
kroA100,G4_3,329.548,0
kroA100,G6_V1_1,329.548,0
kroA100,G6_V1_2,329.548,0
kroA100,G6_V1_3 d,329.548,0
kroA100,G6_V0_1 d,329.548,0
kroA100,G6_V0_2,329.548,0
kroA100,G6_V0_3,329.548,0
kroA100,E s,329.548,0
kroA100,F s,329.548,0
kroA100,G s,329.548,0
kroA100,G2 s,329.548,0
kroA100,G3_1 s,329.548,0
kroA100,G4_1 s,329.548,0
kroA100,G6_V1_3 s,329.548,0
kroA100,G6_V0_1 s,329.548,0
kroA100,Const_100,132393,31000
kroA100,Linear,133957,39713
kroA100,ReciprocalV1,137341,10
kroA100,ReciprocalV2,140180,13136
kroA100,GeometricV1,139735,11570
kroA100,GeometricV2,138860,3589
kroA100,LogarithmicV1,140042,42885
kroA100,LogarithmicV2,141366,15975
kroA100,E d,329.548,0
kroA100,F d,329.548,0
kroA100,G d,329.548,0
kroA100,G2 d,329.548,0
