dim,ts_name,best_value,steps_to_best_value
kroB200,E d,42680.0,2206
kroB200,F d,158841.0,4567
kroB200,G d,161578.0,2343
kroB200,G2 d,35937.0,5012
kroB200,G3_1 d,238852.99999999997,4782
kroB200,G4_1 d,246051.99999999997,4387
kroB200,G6_V1_3 d,182657.99999999997,4843
kroB200,G6_V0_1 d,194240.0,4911
kroB200,E s,48399.0,1774
kroB200,F s,157749.0,539
kroB200,G s,171358.0,2824
kroB200,G2 s,36011.0,4820
kroB200,G3_1 s,239337.0,3480
kroB200,G4_1 s,249993.99999999997,4720
kroB200,G6_V1_3 s,136698.0,4689
kroB200,G6_V0_1 s,89662.99999999999,4899
kroB200,Linear,120370,50087
kroB200,GeometricV1,95396,46815
kroB200,GeometricV2,137048,50118
kroB200,LogarithmicV1,82174,36384
kroB200,LogarithmicV2,267507,25036
kroB100,E d,27054.0,1036
kroB100,F d,66582.0,994
kroB100,G d,66350.0,545
kroB100,G2 d,26598.0,2141
kroB100,G3_1 d,110911.0,1345
kroB100,G4_1 d,109448.0,2193
kroB100,G6_V1_3 d,68454.0,2242
kroB100,G6_V0_1 d,75903.0,2076
kroB100,E s,29082.0,866
kroB100,F s,58426.0,1889
kroB100,G s,74335.0,1519
kroB100,G2 s,26027.0,2214
kroB100,G3_1 s,113342.00000000001,2171
kroB100,G4_1 s,111177.00000000001,2130
kroB100,G6_V1_3 s,77287.0,2190
kroB100,G6_V0_1 s,56228.0,984
kroB100,Linear,62667,22699
kroB100,GeometricV1,52798,21200
kroB100,GeometricV2,79297,22699
kroB100,LogarithmicV1,46086,9140
kroB100,LogarithmicV2,125765,20077
kroB150,E d,35539.0,1444
kroB150,F d,101540.0,2268
kroB150,G d,122244.0,873
kroB150,G2 d,31643.0,3163
kroB150,G3_1 d,180762.0,2401
kroB150,G4_1 d,181777.99999999997,3075
kroB150,G6_V1_3 d,125594.00000000001,3162
kroB150,G6_V0_1 d,112181.0,2810
kroB150,E s,38284.0,1063
kroB150,F s,111159.0,2072
kroB150,G s,126118.00000000001,2447
kroB150,G2 s,30203.0,3132
kroB150,G3_1 s,176148.99999999997,2806
kroB150,G4_1 s,186093.0,2790
kroB150,G6_V1_3 s,141968.0,2947
kroB150,G6_V0_1 s,84411.0,3073
kroB150,Linear,92226,31719
kroB150,GeometricV1,69942,31700
kroB150,GeometricV2,113536,31715
kroB150,LogarithmicV1,61357,18824
kroB150,LogarithmicV2,192112,27580
kroB100,E d,26813.000000000004,999
kroB100,F d,67175.0,149
kroB100,G d,70170.0,557
kroB100,G2 d,24827.000000000004,2124
kroB100,G3_1 d,113644.00000000001,2132
kroB100,G4_1 d,116495.00000000001,2208
kroB100,G6_V1_3 d,79390.0,2242
kroB100,G6_V0_1 d,54225.00000000001,2147
kroB100,E s,27615.000000000004,839
kroB100,F s,69286.0,156
kroB100,G s,78867.0,1173
kroB100,G2 s,23760.0,2145
kroB100,G3_1 s,112772.0,2186
kroB100,G4_1 s,117147.0,1403
kroB100,G6_V1_3 s,49017.0,2203
kroB100,G6_V0_1 s,45521.0,1246
kroB100,Linear,61544,22677
kroB100,GeometricV1,48547,21058
kroB100,GeometricV2,82235,22692
kroB100,LogarithmicV1,42645,8595
kroB100,LogarithmicV2,125424,2130
kroA150,E d,36476.0,1440
kroA150,F d,106898.0,562
kroA150,G d,119045.0,288
kroA150,G2 d,30858.999999999996,3125
kroA150,G3_1 d,178969.99999999997,2731
kroA150,G4_1 d,191330.99999999997,3082
kroA150,G6_V1_3 d,117435.99999999999,3167
kroA150,G6_V0_1 d,135048.99999999997,3022
kroA150,E s,38264.0,1202
kroA150,F s,115580.99999999999,3120
kroA150,G s,121198.99999999999,833
kroA150,G2 s,31725.999999999996,3171
kroA150,G3_1 s,172372.0,2869
kroA150,G4_1 s,189738.99999999997,3102
kroA150,G6_V1_3 s,135340.99999999997,3064
kroA150,G6_V0_1 s,67556.0,2546
kroA150,Linear,89631,31719
kroA150,GeometricV1,82045,31594
kroA150,GeometricV2,113785,31722
kroA150,LogarithmicV1,60877,23997
kroA150,LogarithmicV2,208447,27540
kroB150,E d,38512.0,1531
kroB150,F d,110289.0,791
kroB150,G d,116388.0,1427
kroB150,G2 d,30415.0,3164
kroB150,G3_1 d,182676.0,1867
kroB150,G4_1 d,181936.0,2378
kroB150,G6_V1_3 d,133835.0,3099
kroB150,G6_V0_1 d,134877.0,3041
kroB150,E s,40009.0,1085
kroB150,F s,117639.0,1217
