dim,ts_name,best_value,steps_to_best_value
kroA100,E d,49588.0,896
kroA100,F d,70890.0,2256
kroA100,G d,74500.0,1124
kroA100,G2 d,37444.0,1137
kroA100,G3_1 d,118670.0,2028
kroA100,G4_1 d,115908.0,2078
kroA100,G6_V1_3 d,93289.0,2256
kroA100,G6_V0_1 d,77937.0,2142
kroA100,E s,40880.0,684
kroA100,F s,68645.0,1388
kroA100,G s,80247.0,1658
kroA100,G2 s,37704.0,1429
kroA100,G3_1 s,123046.0,1409
kroA100,G4_1 s,117485.0,1399
kroA100,G6_V1_3 s,108035.99999999999,2131
kroA100,G6_V0_1 s,62942.0,1996
kroA100,Const_100,126275,3744
kroA100,Linear,57241,22621
kroA100,ReciprocalV1,47101,22677
kroA100,ReciprocalV2,108937,22631
kroA100,GeometricV1,49488,22240
kroA100,GeometricV2,70546,22673
kroA100,LogarithmicV1,37887,10883
kroA100,LogarithmicV2,131025,5736
kroB150,E d,70008.0,1048
kroB150,F d,110395.0,367
kroB150,G d,131752.0,866
kroB150,G2 d,54505.0,2648
kroB150,G3_1 d,177090.99999999997,2798
kroB150,G4_1 d,182705.0,2779
kroB150,G6_V1_3 d,137423.0,3169
kroB150,G6_V0_1 d,125230.0,3054
kroB150,E s,54873.0,1220
kroB150,F s,115759.0,976
kroB150,G s,128417.0,463
kroB150,G2 s,57258.0,3038
kroB150,G3_1 s,175439.0,3101
kroB150,G4_1 s,185139.0,2690
kroB150,G6_V1_3 s,139407.0,3009
kroB150,G6_V0_1 s,104114.0,1984
kroB150,Const_100,196593,21002
kroB150,Linear,99786,31716
kroB150,ReciprocalV1,70724,31550
kroB150,ReciprocalV2,156515,31721
kroB150,GeometricV1,78290,31680
kroB150,GeometricV2,107878,31711
kroB150,LogarithmicV1,62070,21933
kroB150,LogarithmicV2,194107,5467
kroA100,E d,48090.0,662
kroA100,F d,69626.0,1403
kroA100,G d,84259.99999999999,531
kroA100,G2 d,40029.0,1367
kroA100,G3_1 d,118244.99999999999,2270
kroA100,G4_1 d,115319.0,2206
kroA100,G6_V1_3 d,78513.0,2247
kroA100,G6_V0_1 d,60573.0,1243
kroA100,E s,42909.99999999999,784
kroA100,F s,76713.0,956
kroA100,G s,82143.0,751
kroA100,G2 s,41800.0,2251
kroA100,G3_1 s,124604.0,1252
kroA100,G4_1 s,121061.0,2119
kroA100,G6_V1_3 s,95631.99999999999,2177
kroA100,G6_V0_1 s,71418.0,1508
kroA100,Const_100,127495,11864
kroA100,Linear,61536,22700
kroA100,ReciprocalV1,39250,22652
kroA100,ReciprocalV2,101870,22663
kroA100,GeometricV1,46709,22642
kroA100,GeometricV2,75524,22678
kroA100,LogarithmicV1,41352,11789
kroA100,LogarithmicV2,119381,21306
kroA150,E d,69145.99999999999,1307
kroA150,F d,103780.99999999999,2674
kroA150,G d,135684.0,565
kroA150,G2 d,61123.99999999999,1168
kroA150,G3_1 d,177763.99999999997,1472
kroA150,G4_1 d,187906.0,2037
kroA150,G6_V1_3 d,144687.99999999997,3048
kroA150,G6_V0_1 d,140959.99999999997,1808
kroA150,E s,61650.99999999999,1284
kroA150,F s,131133.0,2883
kroA150,G s,146802.99999999997,1906
kroA150,G2 s,59471.0,2554
kroA150,G3_1 s,186879.99999999997,1733
kroA150,G4_1 s,183898.99999999997,830
kroA150,G6_V1_3 s,111555.99999999999,3055
kroA150,G6_V0_1 s,97686.99999999999,3168
kroA150,Const_100,194858,7528
kroA150,Linear,94363,31720
kroA150,ReciprocalV1,68592,31430
kroA150,ReciprocalV2,164917,31722
kroA150,GeometricV1,78927,31020
kroA150,GeometricV2,109412,31678
kroA150,LogarithmicV1,62176,17766
kroA150,LogarithmicV2,199649,13750
kroB200,E d,94746.99999999999,1940
kroB200,F d,159710.0,4335
kroB200,G d,180293.0,2621
kroB200,G2 d,76866.99999999999,5008
kroB200,G3_1 d,237970.99999999997,3753
kroB200,G4_1 d,237987.0,4207
kroB200,G6_V1_3 d,179044.0,4972
kroB200,G6_V0_1 d,195606.0,4577
kroB200,E s,74381.0,1335
kroB200,F s,175684.0,4970
kroB200,G s,183849.0,2836
kroB200,G2 s,76665.0,2380
kroB200,G3_1 s,237797.99999999997,1252
kroB200,G4_1 s,238636.99999999997,4788
kroB200,G6_V1_3 s,205193.0,3778
kroB200,G6_V0_1 s,145548.0,2048
kroB200,Const_100,267398,18259
kroB200,Linear,115669,50119
kroB200,ReciprocalV1,87758,50120
kroB200,ReciprocalV2,207226,50108
kroB200,GeometricV1,90842,49940
kroB200,GeometricV2,148927,50082
kroB200,LogarithmicV1,81933,27910
kroB200,LogarithmicV2,260881,5196
kroB100,E d,50538.0,392
kroB100,F d,74591.0,366
kroB100,G d,80548.0,269
kroB100,G2 d,41211.0,2179
kroB100,G3_1 d,113588.00000000001,1843
kroB100,G4_1 d,115894.0,1820
kroB100,G6_V1_3 d,77504.0,2200
kroB100,G6_V0_1 d,77760.0,2186
kroB100,E s,44573.00000000001,469
kroB100,F s,72529.0,982
kroB100,G s,79448.0,1071
kroB100,G2 s,42072.0,1611
kroB100,G3_1 s,117864.0,1986
kroB100,G4_1 s,113204.0,963
kroB100,G6_V1_3 s,76183.0,2090
kroB100,G6_V0_1 s,67245.0,748
kroB100,Const_100,123244,14619
kroB100,Linear,58598,22665
kroB100,ReciprocalV1,43474,22386
kroB100,ReciprocalV2,111771,22692
kroB100,GeometricV1,45847,22697
kroB100,GeometricV2,69139,22587
kroB100,LogarithmicV1,41881,22687
kroB100,LogarithmicV2,128790,3617
kroA150,E d,75951.0,612
kroA150,F d,117991.99999999999,1207
kroA150,G d,135974.99999999997,1147
kroA150,G2 d,55530.99999999999,2038
kroA150,G3_1 d,184318.99999999997,2900
kroA150,G4_1 d,185746.99999999997,2296
kroA150,G6_V1_3 d,142677.99999999997,3171
kroA150,G6_V0_1 d,149623.99999999997,3056
kroA150,E s,63841.99999999999,488
kroA150,F s,120310.99999999999,372
kroA150,G s,127469.0,1359
kroA150,G2 s,59733.99999999999,2084
kroA150,G3_1 s,190142.99999999997,2365
kroA150,G4_1 s,184673.0,2900
kroA150,G6_V1_3 s,128030.99999999999,2580
kroA150,G6_V0_1 s,107806.99999999999,2183
kroA150,Const_100,206728,27986
kroA150,Linear,93150,31686
kroA150,ReciprocalV1,66972,31722
kroA150,ReciprocalV2,148346,31720
kroA150,GeometricV1,74081,31697
kroA150,GeometricV2,109848,31713
kroA150,LogarithmicV1,59653,30846
kroA150,LogarithmicV2,201693,18571
kroA150,E d,78308.99999999999,1164
kroA150,F d,125613.99999999999,366
kroA150,G d,126114.0,855
kroA150,G2 d,56252.0,2064
kroA150,G3_1 d,163718.99999999997,2901
kroA150,G4_1 d,187201.0,3043
kroA150,G6_V1_3 d,151397.0,3103
kroA150,G6_V0_1 d,148820.0,2395
kroA150,E s,64009.99999999999,1050
kroA150,F s,117832.99999999999,2867
kroA150,G s,135354.99999999997,1538
kroA150,G2 s,58315.99999999999,3037
kroA150,G3_1 s,189429.0,2715
kroA150,G4_1 s,189960.99999999997,2308
kroA150,G6_V1_3 s,127781.99999999999,3165
kroA150,G6_V0_1 s,103334.99999999999,1599
kroA150,Const_100,203751,1527
kroA150,Linear,93749,31710
kroA150,ReciprocalV1,67964,31580
kroA150,ReciprocalV2,152424,31717
kroA150,GeometricV1,65234,31575
kroA150,GeometricV2,111044,31670
kroA150,LogarithmicV1,65642,25976
kroA150,LogarithmicV2,203393,4166
kroA100,E d,46799.0,462
kroA100,F d,72849.0,1629
kroA100,G d,85747.0,558
kroA100,G2 d,41666.99999999999,1097
kroA100,G3_1 d,119302.0,1627
kroA100,G4_1 d,120139.0,2197
kroA100,G6_V1_3 d,89634.0,2240
kroA100,G6_V0_1 d,92341.99999999999,2187
kroA100,E s,46297.0,542
kroA100,F s,72644.0,990
kroA100,G s,86063.0,1882
kroA100,G2 s,41172.0,1868
kroA100,G3_1 s,120994.0,1462
kroA100,G4_1 s,121411.99999999999,2097
kroA100,G6_V1_3 s,73232.0,1950
kroA100,G6_V0_1 s,55730.0,1976
kroA100,Const_100,123104,10550
kroA100,Linear,59253,22687
kroA100,ReciprocalV1,46798,22674
kroA100,ReciprocalV2,104062,22700
kroA100,GeometricV1,48711,21892
kroA100,GeometricV2,68622,22676
kroA100,LogarithmicV1,42874,19192
kroA100,LogarithmicV2,127350,22111
kroB200,E d,93336.99999999999,957
kroB200,F d,164316.0,2894
kroB200,G d,177555.0,1734
kroB200,G2 d,78757.0,4355
kroB200,G3_1 d,242033.99999999997,3417
kroB200,G4_1 d,246098.0,4564
kroB200,G6_V1_3 d,190667.99999999997,5012
kroB200,G6_V0_1 d,195926.0,3438
kroB200,E s,74072.99999999999,1537
kroB200,F s,175506.0,2458
kroB200,G s,177296.0,1601
kroB200,G2 s,82783.0,1402
kroB200,G3_1 s,235347.0,4816
kroB200,G4_1 s,243228.0,3908
kroB200,G6_V1_3 s,192385.0,4931
kroB200,G6_V0_1 s,129764.0,1573
kroB200,Const_100,267874,20456
kroB200,Linear,113782,50119
kroB200,ReciprocalV1,84426,47713
kroB200,ReciprocalV2,213830,50119
kroB200,GeometricV1,91887,49744
kroB200,GeometricV2,140496,50090
kroB200,LogarithmicV1,75843,49860
kroB200,LogarithmicV2,264786,5457
kroA100,E d,45754.0,369
kroA100,F d,73676.0,1208
kroA100,G d,77516.0,1123
kroA100,G2 d,43218.0,2016
kroA100,G3_1 d,119842.0,774
kroA100,G4_1 d,111135.0,1368
kroA100,G6_V1_3 d,94734.0,2180
kroA100,G6_V0_1 d,63238.0,2179
kroA100,E s,43591.0,593
kroA100,F s,72126.0,1980
kroA100,G s,83316.0,782
kroA100,G2 s,41138.0,1148
kroA100,G3_1 s,124043.0,1267
kroA100,G4_1 s,122006.0,1975
kroA100,G6_V1_3 s,70397.0,2079
kroA100,G6_V0_1 s,68187.0,1730
kroA100,Const_100,131380,14788
kroA100,Linear,64121,22702
kroA100,ReciprocalV1,48078,21496
kroA100,ReciprocalV2,99325,22701
kroA100,GeometricV1,49012,22523
kroA100,GeometricV2,77161,22698
kroA100,LogarithmicV1,40421,14631
kroA100,LogarithmicV2,129104,18466
kroA150,E d,69628.99999999999,1441
kroA150,F d,119224.0,1201
kroA150,G d,121167.99999999999,884
kroA150,G2 d,60143.99999999999,2804
kroA150,G3_1 d,186839.99999999997,2335
kroA150,G4_1 d,181621.99999999997,2725
kroA150,G6_V1_3 d,146601.0,3049
kroA150,G6_V0_1 d,165856.0,2923
kroA150,E s,64725.99999999999,959
kroA150,F s,129209.99999999999,2892
kroA150,G s,139714.0,3144
kroA150,G2 s,62862.999999999985,2492
kroA150,G3_1 s,184660.99999999997,2209
kroA150,G4_1 s,184979.99999999997,3082
kroA150,G6_V1_3 s,148539.99999999997,2576
kroA150,G6_V0_1 s,106058.0,2563
kroA150,Const_100,202199,1753
kroA150,Linear,95434,31717
kroA150,ReciprocalV1,62912,31364
kroA150,ReciprocalV2,152609,31696
kroA150,GeometricV1,72049,30827
kroA150,GeometricV2,116466,31718
kroA150,LogarithmicV1,64686,27250
kroA150,LogarithmicV2,203857,664
kroA200,E d,99858.00000000001,2012
kroA200,F d,172684.00000000003,3928
kroA200,G d,193795.0,1457
kroA200,G2 d,80952.0,2576
kroA200,G3_1 d,253030.00000000003,4217
kroA200,G4_1 d,235181.0,4658
kroA200,G6_V1_3 d,193597.00000000003,4997
kroA200,G6_V0_1 d,205026.0,4233
kroA200,E s,80235.00000000001,2004
kroA200,F s,182195.00000000003,4085
kroA200,G s,187667.00000000003,1638
kroA200,G2 s,84441.00000000001,4475
kroA200,G3_1 s,243228.00000000003,4604
kroA200,G4_1 s,251294.0,3652
kroA200,G6_V1_3 s,206058.0,4745
kroA200,G6_V0_1 s,151758.0,1092
kroA200,Const_100,278216,5649
kroA200,Linear,121730,50052
kroA200,ReciprocalV1,90221,47222
kroA200,ReciprocalV2,184840,50121
kroA200,GeometricV1,100159,49135
kroA200,GeometricV2,143294,49898
kroA200,LogarithmicV1,85988,48513
kroA200,LogarithmicV2,274620,19117
kroA150,E d,68575.0,910
kroA150,F d,121506.99999999999,2667
kroA150,G d,128011.0,1717
kroA150,G2 d,63223.99999999999,2873
kroA150,G3_1 d,184356.99999999997,2404
kroA150,G4_1 d,182299.99999999997,2732
kroA150,G6_V1_3 d,139636.0,3165
kroA150,G6_V0_1 d,153200.99999999997,3071
kroA150,E s,60742.99999999999,801
kroA150,F s,122193.99999999999,1835
kroA150,G s,134079.0,1047
kroA150,G2 s,60221.99999999999,1705
kroA150,G3_1 s,180865.99999999997,2968
kroA150,G4_1 s,187779.99999999997,3078
kroA150,G6_V1_3 s,124032.99999999999,3154
kroA150,G6_V0_1 s,100505.0,3022
kroA150,Const_100,202543,17187
kroA150,Linear,89040,31695
kroA150,ReciprocalV1,70113,31594
kroA150,ReciprocalV2,143282,31712
kroA150,GeometricV1,77234,31591
kroA150,GeometricV2,115894,31722
kroA150,LogarithmicV1,54317,31458
kroA150,LogarithmicV2,204961,31436
kroA100,E d,51804.0,683
kroA100,F d,72427.0,143
kroA100,G d,81423.0,1130
kroA100,G2 d,40003.0,1136
kroA100,G3_1 d,122011.0,2267
kroA100,G4_1 d,121377.0,938
kroA100,G6_V1_3 d,87758.0,2207
kroA100,G6_V0_1 d,87694.0,1546
kroA100,E s,38868.0,873
kroA100,F s,76192.0,1835
kroA100,G s,82395.0,904
kroA100,G2 s,41620.0,691
kroA100,G3_1 s,122151.0,948
kroA100,G4_1 s,118573.0,1326
kroA100,G6_V1_3 s,74214.0,2166
kroA100,G6_V0_1 s,64752.0,1296
