dim,ts_name,best_value,steps_to_best_value
kroB200,E d,293241.99999999994,3633
kroB200,F d,287278.0,5
kroB200,G d,291391.0,774
kroB200,G2 d,292455.99999999994,3265
kroB200,G3_1 d,293407.99999999994,2436
kroB200,G4_1 d,291881.0,4334
kroB200,G6_V1_3 d,294104.99999999994,4142
kroB200,G6_V0_1 d,293789.0,4656
kroB200,E s,294939.0,1402
kroB200,F s,285160.0,4403
kroB200,G s,290871.99999999994,10
kroB200,G2 s,286924.0,4376
kroB200,G3_1 s,282735.99999999994,3095
kroB200,G4_1 s,283847.0,2245
kroB200,G6_V1_3 s,292307.0,2606
kroB200,G6_V0_1 s,290579.0,3061
kroB200,Linear,285334,33400
kroB200,GeometricV1,288045,42575
kroB200,GeometricV2,295230,44672
kroB200,LogarithmicV1,287647,3417
kroB200,LogarithmicV2,287824,236
kroB100,E d,135301.0,470
kroB100,F d,138323.0,601
kroB100,G d,135898.0,1319
kroB100,G2 d,141141.0,795
kroB100,G3_1 d,142825.0,2180
kroB100,G4_1 d,139017.0,1135
kroB100,G6_V1_3 d,135181.0,62
kroB100,G6_V0_1 d,144886.0,667
kroB100,E s,140518.0,760
kroB100,F s,138660.0,672
kroB100,G s,138763.0,418
kroB100,G2 s,139387.0,603
kroB100,G3_1 s,137790.0,256
kroB100,G4_1 s,134288.0,1644
kroB100,G6_V1_3 s,137360.0,785
kroB100,G6_V0_1 s,134782.0,1887
kroB100,Linear,135855,19339
kroB100,GeometricV1,136014,11877
kroB100,GeometricV2,137438,12148
kroB100,LogarithmicV1,140353,13369
kroB100,LogarithmicV2,134263,13505
kroB200,E d,287043.0,3113
kroB200,F d,285075.0,3258
kroB200,G d,284195.0,4423
kroB200,G2 d,290533.0,518
kroB200,G3_1 d,294218.0,646
kroB200,G4_1 d,290677.99999999994,4255
kroB200,G6_V1_3 d,290409.99999999994,3482
kroB200,G6_V0_1 d,287009.99999999994,1702
kroB200,E s,291990.0,3009
kroB200,F s,290376.0,2805
kroB200,G s,289950.0,486
kroB200,G2 s,287966.0,4673
kroB200,G3_1 s,292810.0,1404
kroB200,G4_1 s,292611.99999999994,834
kroB200,G6_V1_3 s,294462.0,3423
kroB200,G6_V0_1 s,289081.0,3443
kroB200,Linear,291827,28875
kroB200,GeometricV1,289237,35084
kroB200,GeometricV2,289939,27382
kroB200,LogarithmicV1,289946,28868
kroB200,LogarithmicV2,290457,21737
kroB200,E d,287780.0,4686
kroB200,F d,291713.0,752
kroB200,G d,294899.0,4640
kroB200,G2 d,295531.99999999994,4026
kroB200,G3_1 d,291292.0,2094
kroB200,G4_1 d,289129.0,2006
kroB200,G6_V1_3 d,287647.0,3165
kroB200,G6_V0_1 d,283893.99999999994,4043
kroB200,E s,293056.0,3441
kroB200,F s,286827.0,1721
kroB200,G s,283232.0,1243
kroB200,G2 s,288115.99999999994,3628
kroB200,G3_1 s,288826.99999999994,236
kroB200,G4_1 s,279985.0,249
kroB200,G6_V1_3 s,292436.0,691
kroB200,G6_V0_1 s,287708.0,1960
kroB200,Linear,282715,23381
kroB200,GeometricV1,289882,19975
kroB200,GeometricV2,289262,35357
kroB200,LogarithmicV1,294478,23965
kroB200,LogarithmicV2,291330,43500
kroB150,E d,218620.0,2634
kroB150,F d,223530.0,450
kroB150,G d,220148.0,1053
kroB150,G2 d,213892.0,1326
kroB150,G3_1 d,215804.0,1571
kroB150,G4_1 d,217073.0,2054
kroB150,G6_V1_3 d,218382.0,2663
kroB150,G6_V0_1 d,221678.0,2428
kroB150,E s,215005.0,1280
kroB150,F s,212688.0,1227
kroB150,G s,214358.0,727
kroB150,G2 s,222996.0,2697
kroB150,G3_1 s,212216.99999999997,2075
kroB150,G4_1 s,220751.0,2891
kroB150,G6_V1_3 s,217534.0,3138
kroB150,G6_V0_1 s,211939.0,1381
kroB150,Linear,218093,17243
kroB150,GeometricV1,219762,10088
kroB150,GeometricV2,213800,8472
kroB150,LogarithmicV1,221032,10753
kroB150,LogarithmicV2,219725,12490
kroB150,E d,221575.0,1421
kroB150,F d,215851.0,2113
kroB150,G d,212384.0,1285
kroB150,G2 d,221174.0,1036
kroB150,G3_1 d,216302.0,401
kroB150,G4_1 d,209825.0,745
kroB150,G6_V1_3 d,212374.0,2554
kroB150,G6_V0_1 d,218470.0,3084
kroB150,E s,219883.0,98
kroB150,F s,220062.0,1614
kroB150,G s,218085.0,881
kroB150,G2 s,221295.0,938
kroB150,G3_1 s,218973.0,266
kroB150,G4_1 s,218020.0,1165
kroB150,G6_V1_3 s,218866.0,1424
kroB150,G6_V0_1 s,219789.0,2648
kroB150,Linear,213583,8342
kroB150,GeometricV1,216658,26983
kroB150,GeometricV2,219459,16649
kroB150,LogarithmicV1,215330,29854
kroB150,LogarithmicV2,216704,26150
kroB100,E d,135137.0,1536
kroB100,F d,133076.0,819
kroB100,G d,133453.0,1182
kroB100,G2 d,133839.0,1410
kroB100,G3_1 d,140659.0,1935
kroB100,G4_1 d,137585.0,469
kroB100,G6_V1_3 d,138660.0,756
kroB100,G6_V0_1 d,138174.0,452
kroB100,E s,140002.0,1138
kroB100,F s,137278.0,680
kroB100,G s,139485.0,1266
kroB100,G2 s,138907.0,1510
kroB100,G3_1 s,136854.0,1178
kroB100,G4_1 s,141935.0,1556
kroB100,G6_V1_3 s,135804.0,782
kroB100,G6_V0_1 s,143298.0,835
kroB100,Linear,139570,22248
kroB100,GeometricV1,138813,6894
kroB100,GeometricV2,141337,20369
kroB100,LogarithmicV1,138735,1676
kroB100,LogarithmicV2,139723,1367
