dim,ts_name,best_value,steps_to_best_value
kroB100,E d,142373.0,1113
kroB100,F d,139970.0,1816
kroB100,G d,138771.0,1956
kroB100,G2 d,140744.0,448
kroB100,G3_1 d,139878.0,1964
kroB100,G4_1 d,140966.0,2074
kroB100,G6_V1_3 d,139943.0,1077
kroB100,G6_V0_1 d,138848.0,88
kroB100,E s,139554.0,684
kroB100,F s,142149.0,1202
kroB100,G s,137706.0,136
kroB100,G2 s,136099.0,1637
kroB100,G3_1 s,141581.0,2002
kroB100,G4_1 s,135359.0,1113
kroB100,G6_V1_3 s,133479.0,694
kroB100,G6_V0_1 s,138000.0,2109
kroB100,Linear,138354,20566
kroB100,GeometricV1,142395,6012
kroB100,GeometricV2,135265,14895
kroB100,LogarithmicV1,139617,3803
kroB100,LogarithmicV2,135703,9233
kroA100,E d,140649.0,999
kroA100,F d,140723.0,359
kroA100,G d,141282.0,1935
kroA100,G2 d,137674.0,1595
kroA100,G3_1 d,141649.0,123
kroA100,G4_1 d,137771.0,319
kroA100,G6_V1_3 d,139490.0,806
kroA100,G6_V0_1 d,140965.0,1806
kroA100,E s,142706.0,1877
kroA100,F s,139975.0,94
kroA100,G s,138712.0,2226
kroA100,G2 s,133321.0,636
kroA100,G3_1 s,137927.0,1166
kroA100,G4_1 s,142130.0,414
kroA100,G6_V1_3 s,142639.0,240
kroA100,G6_V0_1 s,139396.0,1953
kroA100,Linear,141019,7205
kroA100,GeometricV1,137994,5316
kroA100,GeometricV2,143774,13371
kroA100,LogarithmicV1,143377,6979
kroA100,LogarithmicV2,139298,2180
kroB150,E d,221304.0,1391
kroB150,F d,217686.0,497
kroB150,G d,222425.0,3103
kroB150,G2 d,219600.0,2618
kroB150,G3_1 d,215488.0,2141
kroB150,G4_1 d,214982.0,546
kroB150,G6_V1_3 d,216018.0,1729
kroB150,G6_V0_1 d,218070.0,1942
kroB150,E s,216384.0,1199
kroB150,F s,208594.0,574
kroB150,G s,221866.0,2534
kroB150,G2 s,217750.0,1230
kroB150,G3_1 s,219737.0,1166
kroB150,G4_1 s,217177.0,2887
kroB150,G6_V1_3 s,212477.0,1392
kroB150,G6_V0_1 s,217323.0,2700
kroB150,Linear,208956,9530
kroB150,GeometricV1,214183,20680
kroB150,GeometricV2,220509,31115
kroB150,LogarithmicV1,221795,24660
kroB150,LogarithmicV2,224852,29389
kroB200,E d,293187.0,3193
kroB200,F d,293283.0,4550
kroB200,G d,291632.99999999994,4562
kroB200,G2 d,290665.99999999994,2918
kroB200,G3_1 d,292047.0,3671
kroB200,G4_1 d,291099.0,2767
kroB200,G6_V1_3 d,291561.0,4256
kroB200,G6_V0_1 d,291823.0,542
kroB200,E s,293787.0,4960
kroB200,F s,285998.0,486
kroB200,G s,281080.0,2285
kroB200,G2 s,285715.0,937
kroB200,G3_1 s,287602.99999999994,645
kroB200,G4_1 s,286697.0,3960
kroB200,G6_V1_3 s,292463.0,4882
kroB200,G6_V0_1 s,285975.0,289
kroB200,Linear,284766,5997
kroB200,GeometricV1,286948,19331
kroB200,GeometricV2,289978,25599
kroB200,LogarithmicV1,294856,39309
kroB200,LogarithmicV2,296007,48496
kroB100,E d,139403.0,1947
kroB100,F d,139938.0,1889
kroB100,G d,140529.0,1882
kroB100,G2 d,141873.0,933
kroB100,G3_1 d,138488.0,972
kroB100,G4_1 d,142100.0,153
kroB100,G6_V1_3 d,136946.0,1474
kroB100,G6_V0_1 d,133897.0,992
kroB100,E s,129071.0,1017
kroB100,F s,142066.0,644
kroB100,G s,141793.0,1437
kroB100,G2 s,133076.0,2135
kroB100,G3_1 s,141054.0,2010
kroB100,G4_1 s,135409.0,1710
kroB100,G6_V1_3 s,137148.0,1725
kroB100,G6_V0_1 s,137668.0,2264
kroB100,Linear,137114,19392
kroB100,GeometricV1,128945,15429
kroB100,GeometricV2,138735,4624
kroB100,LogarithmicV1,139041,18008
kroB100,LogarithmicV2,138866,18957
kroA200,E d,298701.0,3807
kroA200,F d,291536.00000000006,3591
kroA200,G d,300028.00000000006,902
kroA200,G2 d,298485.0,1379
kroA200,G3_1 d,298386.0,3480
kroA200,G4_1 d,293459.0,1259
kroA200,G6_V1_3 d,294025.0,102
kroA200,G6_V0_1 d,295171.0,1658
kroA200,E s,294226.0,543
kroA200,F s,293593.0,3057
kroA200,G s,298033.0,1531
kroA200,G2 s,286345.0,89
kroA200,G3_1 s,289543.0,4944
kroA200,G4_1 s,297449.00000000006,2447
kroA200,G6_V1_3 s,295731.00000000006,4000
kroA200,G6_V0_1 s,287318.0,3418
kroA200,Linear,291427,34469
kroA200,GeometricV1,299016,43965
kroA200,GeometricV2,294634,41032
kroA200,LogarithmicV1,293923,24250
kroA200,LogarithmicV2,287767,32965
kroA150,E d,222963.99999999997,2571
kroA150,F d,224358.0,1870
kroA150,G d,220176.99999999997,1054
kroA150,G2 d,214952.99999999997,1506
kroA150,G3_1 d,216601.99999999997,62
kroA150,G4_1 d,212956.0,878
kroA150,G6_V1_3 d,220463.0,1876
kroA150,G6_V0_1 d,221063.99999999997,1164
kroA150,E s,219857.99999999997,1171
kroA150,F s,220310.99999999997,3137
kroA150,G s,219421.99999999997,1108
kroA150,G2 s,220401.0,2530
kroA150,G3_1 s,212834.0,856
kroA150,G4_1 s,223377.99999999997,999
kroA150,G6_V1_3 s,219894.0,649
kroA150,G6_V0_1 s,218190.99999999997,617
kroA150,Linear,222491,10553
kroA150,GeometricV1,215468,10107
kroA150,GeometricV2,221334,7402
kroA150,LogarithmicV1,224624,11390
kroA150,LogarithmicV2,217854,20777
kroA150,E d,223854.99999999997,1503
kroA150,F d,208873.99999999997,441
kroA150,G d,215526.99999999997,2275
kroA150,G2 d,224097.99999999997,115
kroA150,G3_1 d,218314.0,68
kroA150,G4_1 d,221455.0,759
kroA150,G6_V1_3 d,219659.99999999997,1348
kroA150,G6_V0_1 d,218355.99999999997,2244
kroA150,E s,220195.0,623
kroA150,F s,222588.99999999997,2036
kroA150,G s,212888.99999999997,358
kroA150,G2 s,221493.0,2392
kroA150,G3_1 s,218314.0,2959
kroA150,G4_1 s,218593.0,2236
kroA150,G6_V1_3 s,213186.99999999997,322
kroA150,G6_V0_1 s,218615.99999999997,2480
kroA150,Linear,221579,17133
kroA150,GeometricV1,220646,30660
