dim,ts_name,best_value,steps_to_best_value
kroB150,E d,222225.0,2119
kroB150,F d,214366.0,1713
kroB150,G d,220929.0,2615
kroB150,G2 d,213335.0,2363
kroB150,G3_1 d,217168.0,2663
kroB150,G4_1 d,217397.0,1990
kroB150,G6_V1_3 d,218529.0,2483
kroB150,G6_V0_1 d,221879.0,2248
kroB150,E s,222145.0,2266
kroB150,F s,219373.0,1296
kroB150,G s,218582.0,1747
kroB150,G2 s,220316.0,2557
kroB150,G3_1 s,217326.0,2017
kroB150,G4_1 s,216357.0,2126
kroB150,G6_V1_3 s,212567.0,1338
kroB150,G6_V0_1 s,216277.0,1021
kroB150,Linear,218947,28426
kroB150,GeometricV1,219913,28787
kroB150,GeometricV2,219205,25599
kroB150,LogarithmicV1,217833,8517
kroB150,LogarithmicV2,214969,23788
kroA100,E d,136712.0,1381
kroA100,F d,144359.0,1813
kroA100,G d,141178.0,898
kroA100,G2 d,143463.0,445
kroA100,G3_1 d,139108.0,1612
kroA100,G4_1 d,140445.0,65
kroA100,G6_V1_3 d,137443.0,288
kroA100,G6_V0_1 d,136472.0,219
kroA100,E s,136434.0,1915
kroA100,F s,144665.0,2240
kroA100,G s,141863.0,2086
kroA100,G2 s,138859.0,205
kroA100,G3_1 s,142310.0,800
kroA100,G4_1 s,141977.0,1980
kroA100,G6_V1_3 s,140471.0,199
kroA100,G6_V0_1 s,140587.0,389
kroA100,Linear,141445,119
kroA100,GeometricV1,140038,11916
kroA100,GeometricV2,142006,14369
kroA100,LogarithmicV1,137578,15982
kroA100,LogarithmicV2,139427,11303
kroA100,E d,136053.0,308
kroA100,F d,140428.0,831
kroA100,G d,138734.0,1805
kroA100,G2 d,142981.0,1540
kroA100,G3_1 d,132442.0,1505
kroA100,G4_1 d,140047.0,784
kroA100,G6_V1_3 d,138990.0,1828
kroA100,G6_V0_1 d,139690.0,1491
kroA100,E s,140680.0,1775
kroA100,F s,144190.0,1967
kroA100,G s,139549.0,1052
kroA100,G2 s,140447.0,1170
kroA100,G3_1 s,142851.0,583
kroA100,G4_1 s,141001.0,1535
kroA100,G6_V1_3 s,143800.0,1177
kroA100,G6_V0_1 s,141879.0,89
kroA100,Linear,135629,3463
kroA100,GeometricV1,140821,733
kroA100,GeometricV2,145049,8773
kroA100,LogarithmicV1,140983,22334
kroA100,LogarithmicV2,137598,21876
kroB150,E d,220120.0,2892
kroB150,F d,219711.0,224
kroB150,G d,215991.0,502
kroB150,G2 d,213376.0,145
kroB150,G3_1 d,217358.0,1006
kroB150,G4_1 d,221060.0,1958
kroB150,G6_V1_3 d,219190.0,2396
kroB150,G6_V0_1 d,218748.0,1986
kroB150,E s,217142.0,289
kroB150,F s,215826.0,968
kroB150,G s,208900.0,1083
kroB150,G2 s,221393.0,68
kroB150,G3_1 s,221122.0,366
kroB150,G4_1 s,217709.0,898
kroB150,G6_V1_3 s,218621.0,409
kroB150,G6_V0_1 s,217578.0,177
kroB150,Linear,219617,30915
kroB150,GeometricV1,217774,10345
kroB150,GeometricV2,216531,13717
kroB150,LogarithmicV1,220276,21797
kroB150,LogarithmicV2,209106,10242
kroB150,E d,219990.0,2327
kroB150,F d,219913.0,1872
kroB150,G d,218752.0,2254
kroB150,G2 d,219040.0,183
kroB150,G3_1 d,216935.0,463
kroB150,G4_1 d,219158.0,1855
kroB150,G6_V1_3 d,213611.0,769
kroB150,G6_V0_1 d,216385.0,1518
kroB150,E s,219111.0,2616
kroB150,F s,216681.0,444
kroB150,G s,216968.99999999997,151
kroB150,G2 s,222630.0,3090
kroB150,G3_1 s,221845.0,2310
kroB150,G4_1 s,218012.0,3003
kroB150,G6_V1_3 s,216522.0,2661
kroB150,G6_V0_1 s,219668.0,1005
kroB150,Linear,219569,1944
kroB150,GeometricV1,222458,11184
kroB150,GeometricV2,216754,20741
kroB150,LogarithmicV1,222366,19381
kroB150,LogarithmicV2,221047,20081
