dim,ts_name,best_value,steps_to_best_value
kroA150,E,218444.0,1191
kroA150,F,220035.0,1920
kroA150,G,217738.99999999997,2
kroA150,G2,216938.99999999997,1349
kroA150,G3_1,224185.99999999997,489
kroA150,G4_1,220648.99999999997,1532
kroA150,G6_V1_3,221868.99999999997,2959
kroA150,G6_V0_1,217212.99999999997,2345
kroA150,G6_V0_2,216620.99999999997,8
kroA150,G6_V0_3,216509.0,2754
kroA150,Linear,223288,3175
kroA150,GeometricV1,221282,20969
kroA150,GeometricV2,216612,29558
kroA150,LogarithmicV1,221828,27243
kroA150,LogarithmicV2,222232,9027
kroA200,E,296986.0,1224
kroA200,F,285548.0,4264
kroA200,G,296366.0,1698
kroA200,G2,298563.0,2888
kroA200,G3_1,294008.0,210
kroA200,G4_1,294633.00000000006,3139
kroA200,G6_V1_3,298336.0,1073
kroA200,G6_V0_1,297025.0,4947
kroA200,G6_V0_2,291345.0,3503
kroA200,G6_V0_3,291917.0,2540
kroA200,Linear,291166,9291
kroA200,GeometricV1,292133,12675
kroA200,GeometricV2,295215,6666
kroA200,LogarithmicV1,297969,45169
kroA200,LogarithmicV2,289176,9292
kroA100,E,141934.0,821
kroA100,F,138534.0,1257
kroA100,G,139573.0,109
kroA100,G2,138272.0,424
kroA100,G3_1,141189.0,1417
kroA100,G4_1,138221.0,1348
kroA100,G6_V1_3,141478.0,1828
kroA100,G6_V0_1,145018.0,1966
kroA100,G6_V0_2,140966.0,1232
kroA100,G6_V0_3,144505.0,1637
kroA100,Linear,141521,17035
kroA100,GeometricV1,141566,21999
kroA100,GeometricV2,140012,17370
kroA100,LogarithmicV1,140699,14936
kroA100,LogarithmicV2,143959,5597
kroB100,E,133132.0,2141
kroB100,F,141098.0,565
kroB100,G,134330.0,2219
kroB100,G2,137445.0,1222
kroB100,G3_1,134310.0,1931
kroB100,G4_1,141082.0,1294
kroB100,G6_V1_3,137744.0,975
kroB100,G6_V0_1,133006.0,1923
kroB100,G6_V0_2,140130.0,1067
kroB100,G6_V0_3,137659.0,787
kroB100,Linear,138677,20620
kroB100,GeometricV1,143012,10683
kroB100,GeometricV2,132760,1844
kroB100,LogarithmicV1,138212,2810
kroB100,LogarithmicV2,137021,4492
kroA100,E,143430.0,1176
kroA100,F,135455.0,2000
kroA100,G,141179.0,206
kroA100,G2,140809.0,2154
kroA100,G3_1,140365.0,1224
kroA100,G4_1,140495.0,504
kroA100,G6_V1_3,142486.0,1354
kroA100,G6_V0_1,142112.0,1012
kroA100,G6_V0_2,138881.0,1141
kroA100,G6_V0_3,134424.0,784
kroA100,Linear,140995,208
kroA100,GeometricV1,140195,2602
kroA100,GeometricV2,143497,15711
kroA100,LogarithmicV1,135610,5396
kroA100,LogarithmicV2,136909,6614
kroA200,E,294183.0,1969
kroA200,F,291955.0,4406
kroA200,G,294030.0,4805
kroA200,G2,290587.00000000006,2421
kroA200,G3_1,296491.0,3686
kroA200,G4_1,296941.0,2710
kroA200,G6_V1_3,286258.0,3856
kroA200,G6_V0_1,292853.00000000006,4954
kroA200,G6_V0_2,300686.0,2694
kroA200,G6_V0_3,295642.0,1211
kroA200,Linear,291965,33637
kroA200,GeometricV1,282071,6180
kroA200,GeometricV2,301067,3009
kroA200,LogarithmicV1,290550,14107
kroA200,LogarithmicV2,292715,14161
kroB100,E,133643.0,767
kroB100,F,140924.0,1301
kroB100,G,136804.0,1079
kroB100,G2,138182.0,146
kroB100,G3_1,136483.0,753
kroB100,G4_1,140710.0,1109
kroB100,G6_V1_3,137187.0,1781
kroB100,G6_V0_1,137291.0,344
kroB100,G6_V0_2,143268.0,1374
kroB100,G6_V0_3,133643.0,262
kroB100,Linear,138700,4091
kroB100,GeometricV1,139158,1200
kroB100,GeometricV2,135026,15924
kroB100,LogarithmicV1,136318,14613
kroB100,LogarithmicV2,141434,5053
kroA100,E,142036.0,1576
kroA100,F,143334.0,1039
kroA100,G,137845.0,23
kroA100,G2,139871.0,1274
kroA100,G3_1,139703.0,1817
kroA100,G4_1,140698.0,271
kroA100,G6_V1_3,139694.0,1504
kroA100,G6_V0_1,139802.0,731
kroA100,G6_V0_2,140370.0,1212
kroA100,G6_V0_3,139752.0,692
kroA100,Linear,141507,4702
kroA100,GeometricV1,136879,1390
kroA100,GeometricV2,139797,10843
kroA100,LogarithmicV1,141867,9117
kroA100,LogarithmicV2,137048,14775
kroB150,E,220377.0,1998
kroB150,F,219986.0,183
kroB150,G,213436.0,374
kroB150,G2,221726.0,969
kroB150,G3_1,214816.0,3034
kroB150,G4_1,217684.0,2132
kroB150,G6_V1_3,218181.0,3137
kroB150,G6_V0_1,214840.0,746
kroB150,G6_V0_2,219873.0,2878
kroB150,G6_V0_3,210350.0,935
kroB150,Linear,220349,25612
kroB150,GeometricV1,212167,19351
kroB150,GeometricV2,219110,25939
kroB150,LogarithmicV1,217025,19068
kroB150,LogarithmicV2,210121,110
kroB100,E,131146.0,1917
kroB100,F,135514.0,927
kroB100,G,137721.0,1970
kroB100,G2,134933.0,1570
kroB100,G3_1,141620.0,416
kroB100,G4_1,139998.0,1293
kroB100,G6_V1_3,139630.0,1351
kroB100,G6_V0_1,139678.0,1001
kroB100,G6_V0_2,139261.0,146
kroB100,G6_V0_3,139905.0,1911
kroB100,Linear,137055,10673
kroB100,GeometricV1,139255,10048
kroB100,GeometricV2,138665,12098
kroB100,LogarithmicV1,142262,9322
kroB100,LogarithmicV2,138259,14502
kroB200,E,294037.0,4472
kroB200,F,288520.0,1579
kroB200,G,289561.0,185
kroB200,G2,289859.0,3203
kroB200,G3_1,292883.0,1237
kroB200,G4_1,286124.0,1360
kroB200,G6_V1_3,289837.0,2482
kroB200,G6_V0_1,288071.0,2094
kroB200,G6_V0_2,290405.0,4673
kroB200,G6_V0_3,287906.0,4197
kroB200,Linear,294421,6573
kroB200,GeometricV1,283397,37860
kroB200,GeometricV2,291652,33914
kroB200,LogarithmicV1,292008,2481
kroB200,LogarithmicV2,290691,36012
kroA200,E,294377.0,1641
kroA200,F,297497.00000000006,1993
kroA200,G,286087.0,1742
kroA200,G2,291661.0,1019
kroA200,G3_1,290872.0,3459
kroA200,G4_1,291882.0,4092
kroA200,G6_V1_3,299217.0,2306
kroA200,G6_V0_1,288813.00000000006,310
kroA200,G6_V0_2,288423.00000000006,4700
kroA200,G6_V0_3,296741.00000000006,394
kroA200,Linear,294165,21994
kroA200,GeometricV1,303698,22210
kroA200,GeometricV2,300461,13650
kroA200,LogarithmicV1,298097,13256
kroA200,LogarithmicV2,296815,39483
kroB150,E,219752.0,568
kroB150,F,216316.0,1535
kroB150,G,213934.0,666
kroB150,G2,218885.0,1336
kroB150,G3_1,214906.0,2651
kroB150,G4_1,222965.0,512
kroB150,G6_V1_3,214136.0,774
kroB150,G6_V0_1,218594.0,157
kroB150,G6_V0_2,216904.0,1079
kroB150,G6_V0_3,217073.0,811
kroB150,Linear,218159,27853
kroB150,GeometricV1,217498,10951
kroB150,GeometricV2,221713,17727
kroB150,LogarithmicV1,211400,2335
kroB150,LogarithmicV2,212317,18015
kroA150,E,220277.99999999997,110
kroA150,F,226443.99999999997,936
kroA150,G,216365.99999999997,124
kroA150,G2,217742.0,1898
kroA150,G3_1,223548.99999999997,2677
kroA150,G4_1,221498.99999999997,1098
kroA150,G6_V1_3,222504.99999999997,274
kroA150,G6_V0_1,214411.99999999997,1819
kroA150,G6_V0_2,210151.0,2998
kroA150,G6_V0_3,217081.0,914
kroA150,Linear,214826,11934
kroA150,GeometricV1,215202,28236
kroA150,GeometricV2,221631,21803
kroA150,LogarithmicV1,215085,9006
kroA150,LogarithmicV2,219509,25763
kroB150,E,210646.0,1296
kroB150,F,214449.0,2693
kroB150,G,220510.0,1260
kroB150,G2,216643.0,1548
kroB150,G3_1,214490.0,1454
kroB150,G4_1,213305.0,2098
kroB150,G6_V1_3,221085.0,1016
kroB150,G6_V0_1,216807.0,1501
kroB150,G6_V0_2,212375.0,1340
kroB150,G6_V0_3,216034.99999999997,2711
kroB150,Linear,218732,12436
kroB150,GeometricV1,215998,20353
kroB150,GeometricV2,217629,23419
kroB150,LogarithmicV1,214496,25583
kroB150,LogarithmicV2,220742,10543
kroA150,E,218919.99999999997,1530
kroA150,F,214331.99999999997,2632
kroA150,G,220646.99999999997,2695
kroA150,G2,216505.99999999997,2886
kroA150,G3_1,223190.99999999997,1847
kroA150,G4_1,221103.0,2999
kroA150,G6_V1_3,221358.99999999997,815
kroA150,G6_V0_1,222176.99999999997,942
kroA150,G6_V0_2,224810.99999999997,1614
kroA150,G6_V0_3,223016.0,2932
kroA150,Linear,221355,22365
kroA150,GeometricV1,219090,10913
kroA150,GeometricV2,218215,3484
kroA150,LogarithmicV1,219402,25710
kroA150,LogarithmicV2,219474,16311
kroB200,E,295684.0,3468
kroB200,F,294689.0,4655
kroB200,G,290238.0,4605
kroB200,G2,290034.99999999994,3626
kroB200,G3_1,294850.99999999994,2487
kroB200,G4_1,288074.0,2534
kroB200,G6_V1_3,289065.0,1444
kroB200,G6_V0_1,290362.0,3830
kroB200,G6_V0_2,286930.0,3520
kroB200,G6_V0_3,293197.0,514
kroB200,Linear,291013,24351
kroB200,GeometricV1,290066,35920
kroB200,GeometricV2,284630,41249
kroB200,LogarithmicV1,291564,790
kroB200,LogarithmicV2,290118,38946
kroB200,E,288954.99999999994,2314
kroB200,F,290240.0,450
kroB200,G,287639.0,4065
kroB200,G2,287006.0,906
kroB200,G3_1,288232.99999999994,673
kroB200,G4_1,298258.0,2693
kroB200,G6_V1_3,289351.0,4891
kroB200,G6_V0_1,289597.99999999994,186
kroB200,G6_V0_2,286931.0,4067
kroB200,G6_V0_3,291835.0,2913
kroB200,Linear,285096,36687
kroB200,GeometricV1,282118,21780
kroB200,GeometricV2,289069,34200
kroB200,LogarithmicV1,285386,21845
kroB200,LogarithmicV2,290373,29058
kroA150,E,221971.99999999997,1162
kroA150,F,217415.99999999997,1533
kroA150,G,222968.99999999997,446
kroA150,G2,222490.99999999997,2820
kroA150,G3_1,218647.99999999997,1791
kroA150,G4_1,218711.99999999997,992
kroA150,G6_V1_3,219206.0,2001
kroA150,G6_V0_1,216395.99999999997,716
kroA150,G6_V0_2,220311.99999999997,2476
