dim,ts_name,best_value,steps_to_best_value
kroB150,E,217574.0,2113
kroB150,F,220942.0,1891
kroB150,G,219450.0,3066
kroB150,G2,220155.0,487
kroB150,G3_1,217427.0,2411
kroB150,G4_1,220575.0,2187
kroB150,G6_V1_3,218576.0,2107
kroB150,G6_V0_1,211350.0,1298
kroB150,G6_V0_2,219879.0,1895
kroB150,G6_V0_3,221508.0,156
kroB150,Linear,221687,13154
kroB150,GeometricV1,221642,15275
kroB150,GeometricV2,218661,24983
kroB150,LogarithmicV1,214263,22194
kroB150,LogarithmicV2,219734,687
kroA100,E,143185.0,324
kroA100,F,140374.0,1085
kroA100,G,142570.0,603
kroA100,G2,143907.0,1546
kroA100,G3_1,140018.0,843
kroA100,G4_1,142107.0,2247
kroA100,G6_V1_3,139440.0,802
kroA100,G6_V0_1,137351.0,1150
kroA100,G6_V0_2,141149.0,12
kroA100,G6_V0_3,137546.0,1029
kroA100,Linear,138980,18094
kroA100,GeometricV1,139816,22457
kroA100,GeometricV2,143094,15494
kroA100,LogarithmicV1,139422,12219
kroA100,LogarithmicV2,139176,13125
kroA100,E,138408.0,683
kroA100,F,143833.0,171
kroA100,G,139589.0,772
kroA100,G2,133500.0,551
kroA100,G3_1,136556.0,1199
kroA100,G4_1,140034.0,1360
kroA100,G6_V1_3,140714.0,814
kroA100,G6_V0_1,141836.0,1766
kroA100,G6_V0_2,138813.0,464
kroA100,G6_V0_3,142517.0,2172
kroA100,Linear,142566,4863
kroA100,GeometricV1,140500,16760
kroA100,GeometricV2,140727,906
kroA100,LogarithmicV1,141640,11515
kroA100,LogarithmicV2,139641,3211
kroB150,E,215887.0,211
kroB150,F,212530.0,2878
kroB150,G,221974.0,2819
kroB150,G2,221565.0,320
kroB150,G3_1,211831.0,2357
kroB150,G4_1,220022.0,1118
kroB150,G6_V1_3,220242.0,2617
kroB150,G6_V0_1,219708.0,2357
kroB150,G6_V0_2,216116.99999999997,543
kroB150,G6_V0_3,209468.0,2605
kroB150,Linear,216059,12883
kroB150,GeometricV1,218805,12770
kroB150,GeometricV2,219976,4411
kroB150,LogarithmicV1,213964,3420
kroB150,LogarithmicV2,217313,8732
kroB200,E,289962.0,4587
kroB200,F,298558.99999999994,786
kroB200,G,290228.99999999994,3863
kroB200,G2,291533.0,271
kroB200,G3_1,288708.99999999994,1740
kroB200,G4_1,290110.0,3864
kroB200,G6_V1_3,290795.99999999994,2381
kroB200,G6_V0_1,293548.0,1882
kroB200,G6_V0_2,287142.0,3177
kroB200,G6_V0_3,288411.0,110
kroB200,Linear,291909,49767
kroB200,GeometricV1,288703,46010
kroB200,GeometricV2,285542,4761
kroB200,LogarithmicV1,292322,37911
kroB200,LogarithmicV2,292323,14918
kroA150,E,217842.99999999997,301
kroA150,F,217344.0,2254
kroA150,G,214751.99999999997,3032
kroA150,G2,214777.99999999997,480
kroA150,G3_1,209953.99999999997,750
kroA150,G4_1,221223.99999999997,1164
kroA150,G6_V1_3,209734.0,430
kroA150,G6_V0_1,222460.99999999997,1187
kroA150,G6_V0_2,222117.99999999997,1113
kroA150,G6_V0_3,218035.99999999997,1166
kroA150,Linear,218588,27185
kroA150,GeometricV1,219376,10555
kroA150,GeometricV2,221431,511
kroA150,LogarithmicV1,222625,8814
kroA150,LogarithmicV2,220109,9373
kroA200,E,295849.0,3945
kroA200,F,299307.0,1983
kroA200,G,295689.0,3690
kroA200,G2,299910.00000000006,2725
kroA200,G3_1,291514.0,2566
kroA200,G4_1,299320.00000000006,556
kroA200,G6_V1_3,289781.0,3146
kroA200,G6_V0_1,293866.00000000006,2720
kroA200,G6_V0_2,296699.0,3035
kroA200,G6_V0_3,296453.0,1352
kroA200,Linear,297361,25584
kroA200,GeometricV1,295729,10986
kroA200,GeometricV2,295734,23962
kroA200,LogarithmicV1,298622,45126
kroA200,LogarithmicV2,294995,16563
kroB150,E,222920.0,1310
kroB150,F,217463.0,260
kroB150,G,219017.0,2136
kroB150,G2,213515.0,473
kroB150,G3_1,217336.0,1285
kroB150,G4_1,219081.0,962
kroB150,G6_V1_3,220496.0,751
kroB150,G6_V0_1,221055.0,946
kroB150,G6_V0_2,214231.0,2343
kroB150,G6_V0_3,215915.0,2248
kroB150,Linear,219975,13961
kroB150,GeometricV1,212404,17166
kroB150,GeometricV2,216971,20670
kroB150,LogarithmicV1,217974,5812
kroB150,LogarithmicV2,220290,31265
kroB100,E,139666.0,1099
kroB100,F,137559.0,71
kroB100,G,138433.0,2227
kroB100,G2,135407.0,2166
kroB100,G3_1,140399.0,405
kroB100,G4_1,139300.0,717
kroB100,G6_V1_3,139202.0,1546
kroB100,G6_V0_1,134491.0,1111
kroB100,G6_V0_2,138863.0,359
kroB100,G6_V0_3,139657.0,1695
kroB100,Linear,136125,276
kroB100,GeometricV1,135931,17997
kroB100,GeometricV2,136741,18601
kroB100,LogarithmicV1,135824,6788
kroB100,LogarithmicV2,140628,15944
kroB100,E,139673.0,1032
kroB100,F,137255.0,1189
kroB100,G,139707.0,440
kroB100,G2,136384.0,1449
kroB100,G3_1,136757.0,1806
kroB100,G4_1,138775.0,1083
kroB100,G6_V1_3,134803.0,782
kroB100,G6_V0_1,137800.0,1668
kroB100,G6_V0_2,134625.0,1385
kroB100,G6_V0_3,136178.0,511
kroB100,Linear,140279,2767
kroB100,GeometricV1,138414,13622
kroB100,GeometricV2,140089,13328
kroB100,LogarithmicV1,136127,12004
kroB100,LogarithmicV2,137647,15991
kroA200,E,297168.0,3488
kroA200,F,301478.0,2322
kroA200,G,295450.0,1802
kroA200,G2,292912.00000000006,2401
kroA200,G3_1,293138.0,2512
kroA200,G4_1,297329.00000000006,2700
kroA200,G6_V1_3,296406.0,71
kroA200,G6_V0_1,300004.00000000006,4324
kroA200,G6_V0_2,298800.0,5011
kroA200,G6_V0_3,296564.0,4000
kroA200,Linear,297767,8563
kroA200,GeometricV1,299604,30441
kroA200,GeometricV2,295421,3626
kroA200,LogarithmicV1,296227,42997
kroA200,LogarithmicV2,297827,28127
kroB150,E,213783.0,1034
kroB150,F,218566.99999999997,958
kroB150,G,219980.0,501
kroB150,G2,221201.0,85
kroB150,G3_1,213720.0,2084
