dim,ts_name,best_value,steps_to_best_value
183,E,1461393.9999999998,2084
183,F_2,1439161.0,860
183,G,1474621.0,1487
183,G2,1434778.0,736
183,G3_1,1406295.0,208
183,G3_2,1401667.0,1080
183,G3_3,1443218.0,1046
183,G4_1,1425096.0,1890
183,G4_2,1401952.9999999998,1097
183,G4_3,1387130.0,1729
183,G6_V1_1,1461835.0,1658
183,G6_V1_2,1418726.0,234
183,G6_V1_3,1435255.0,481
183,G6_V0_1,1422779.0,5
183,G6_V0_2,1455996.0,1575
183,G6_V0_3,1423564.0,1134
183,Const_100,1397524,15991
183,Linear,1447623,6985
183,ReciprocalV1,1428555,4592
183,ReciprocalV2,1461503,7062
183,GeometricV1,1424299,762
183,GeometricV2,1466546,20160
183,LogarithmicV1,1438574,17420
183,LogarithmicV2,1406976,14885
160,E,1053254.0,379
160,F_2,1097682.0,1726
160,G,1097914.0,702
160,G2,1058019.0,284
160,G3_1,1063776.0,65
160,G3_2,1061277.0,1224
160,G3_3,1103327.0,485
160,G4_1,1099223.0,1137
160,G4_2,1082398.0,880
160,G4_3,1031767.0,721
160,G6_V1_1,1073442.0,58
160,G6_V1_2,1056547.0,1528
160,G6_V1_3,1080432.0,982
160,G6_V0_1,1091060.0,463
160,G6_V0_2,1094311.0,1618
160,G6_V0_3,1098145.0,155
160,Const_100,1077545,8906
160,Linear,1073410,7932
160,ReciprocalV1,1081573,11541
160,ReciprocalV2,1076694,15277
160,GeometricV1,1081820,3595
160,GeometricV2,1099065,9399
160,LogarithmicV1,1066238,8522
160,LogarithmicV2,1062181,4411
155,E,1039390.0,307
155,F_2,1050236.0,288
155,G,1047902.0,83
155,G2,1012839.0,275
155,G3_1,1040752.0,1113
155,G3_2,1002681.0,462
155,G3_3,1005682.0000000001,246
155,G4_1,1023726.0,923
155,G4_2,989357.0,1501
155,G4_3,1000974.9999999999,1468
155,G6_V1_1,1041538.0,668
155,G6_V1_2,965462.0,294
155,G6_V1_3,1003354.0,475
155,G6_V0_1,1020009.0,1179
155,G6_V0_2,995747.0000000001,1264
155,G6_V0_3,1022366.9999999999,675
155,Const_100,1020426,5193
155,Linear,996426,10928
155,ReciprocalV1,1014899,10135
155,ReciprocalV2,1014080,7325
155,GeometricV1,1013313,4833
155,GeometricV2,1034650,18
155,LogarithmicV1,999475,10281
155,LogarithmicV2,1023060,12138
245,E,2616419.0,613
245,F_2,2666457.0,2492
245,G,2656845.0,1517
245,G2,2674744.0,2441
245,G3_1,2682206.0,1888
245,G3_2,2625203.0,421
245,G3_3,2619478.0,1784
245,G4_1,2673302.0,1288
245,G4_2,2656010.0,363
245,G4_3,2639037.0,522
245,G6_V1_1,2584756.0,2294
245,G6_V1_2,2587653.0,1858
245,G6_V1_3,2655263.0,1671
245,G6_V0_1,2603452.0,1675
245,G6_V0_2,2675635.0,1476
245,G6_V0_3,2617040.0,1582
245,Const_100,2626025,24345
245,Linear,2617742,8260
245,ReciprocalV1,2656388,23821
245,ReciprocalV2,2596942,4967
245,GeometricV1,2562659,5327
245,GeometricV2,2634106,24366
245,LogarithmicV1,2640625,8120
245,LogarithmicV2,2644660,15283
50,E,92751.99999999999,392
50,F_2,96713.0,375
50,G,99792.0,166
50,G2,96366.99999999999,109
50,G3_1,87714.99999999999,79
50,G3_2,97823.0,459
50,G3_3,97082.0,243
50,G4_1,94937.0,400
50,G4_2,100305.99999999999,149
50,G4_3,96083.99999999999,602
50,G6_V1_1,92992.0,224
50,G6_V1_2,96647.0,442
50,G6_V1_3,94203.0,522
50,G6_V0_1,94695.0,525
50,G6_V0_2,92371.0,93
50,G6_V0_3,89919.0,199
50,Const_100,98891,379
50,Linear,94388,941
50,ReciprocalV1,96979,3799
50,ReciprocalV2,96987,707
50,GeometricV1,91544,6640
50,GeometricV2,94873,2113
50,LogarithmicV1,98622,4486
50,LogarithmicV2,96116,646
103,E,433664.0,245
103,F_2,419782.0,1014
103,G,421004.0,524
103,G2,428600.0,459
103,G3_1,438569.0,43
103,G3_2,425513.0,1109
103,G3_3,425314.0,448
103,G4_1,422034.0,824
103,G4_2,432875.0,301
103,G4_3,422681.0,282
103,G6_V1_1,435027.0,158
103,G6_V1_2,450583.0,13
103,G6_V1_3,444259.0,366
103,G6_V0_1,434952.0,3
103,G6_V0_2,433854.0,113
103,G6_V0_3,442633.0,477
103,Const_100,441487,1221
103,Linear,439370,8595
103,ReciprocalV1,436168,1222
103,ReciprocalV2,424492,5102
103,GeometricV1,445313,2339
103,GeometricV2,432864,11318
103,LogarithmicV1,429880,4271
103,LogarithmicV2,428047,4379
174,E,1302738.0,1009
174,F_2,1295639.0,1702
174,G,1317871.0,1041
174,G2,1277177.0,856
174,G3_1,1311364.0,1082
174,G3_2,1320282.0,1673
174,G3_3,1320045.0,138
174,G4_1,1333010.0,258
174,G4_2,1293077.0,879
174,G4_3,1302824.0,493
174,G6_V1_1,1305525.0,1801
174,G6_V1_2,1255324.0,690
174,G6_V1_3,1332833.0,809
174,G6_V0_1,1287115.9999999998,1680
174,G6_V0_2,1302308.0,1945
174,G6_V0_3,1307076.0,1457
174,Const_100,1339614,8604
174,Linear,1256579,835
174,ReciprocalV1,1285792,8923
174,ReciprocalV2,1344440,12495
174,GeometricV1,1307500,4947
174,GeometricV2,1299106,5860
174,LogarithmicV1,1296492,19082
174,LogarithmicV2,1322360,18727
