dim,ts_name,best_value,steps_to_best_value
297,E,421157.3327246444,4971
297,F_2,426601.2739447671,189
297,G,433028.7866106357,1323
297,G2,427210.28779630153,6664
297,G3_1,425940.07367552875,3449
297,G3_2,429977.3054092884,546
297,G3_3,432248.01094001345,4785
297,G4_1,429011.4841651087,5200
297,G4_2,437235.73404204537,2115
297,G4_3,435592.07867761893,5279
297,G6_V1_1,431525.39973018237,3102
297,G6_V1_2,427024.15612489433,6635
297,G6_V1_3,431552.33420920663,1813
297,G6_V0_1,424052.72217946284,1972
297,G6_V0_2,428163.3143854095,1833
297,G6_V0_3,433866.8824910262,5248
297,Const_100,432838.9319334859,64033
297,Linear,432656.01394631335,19069
297,ReciprocalV1,431086.81800063106,9724
297,ReciprocalV2,431558.2281129708,86
297,GeometricV1,430384.5973809148,53290
297,GeometricV2,433111.30956689594,59684
297,LogarithmicV1,427624.8159898647,10181
297,LogarithmicV2,430252.3344696437,31903
170,E,131186.14550636918,2923
170,F_2,131652.46522034478,671
170,G,129518.67509961897,3644
170,G2,130988.80842046604,1047
170,G3_1,133664.64649618024,691
170,G3_2,133170.5141146467,1078
170,G3_3,130663.02374730393,1406
170,G4_1,131445.75382380365,3242
170,G4_2,133144.12351501058,356
170,G4_3,131490.4241467254,1450
170,G6_V1_1,129481.4103309875,1575
170,G6_V1_2,132377.2174981322,1605
170,G6_V1_3,130641.65658852093,2177
170,G6_V0_1,133794.3109806832,2195
170,G6_V0_2,132550.15680874485,303
170,G6_V0_3,132434.8986709449,2089
170,Const_100,132125.2244230307,8668
170,Linear,124557.89926956526,16522
170,ReciprocalV1,128516.97835039986,16761
170,ReciprocalV2,131941.1958409418,27853
170,GeometricV1,130024.78801422587,8905
170,GeometricV2,128185.19299611058,19282
170,LogarithmicV1,130608.83451523271,23918
170,LogarithmicV2,128854.06487621501,14559
298,E,440485.7327799834,3926
298,F_2,435384.73526737944,4919
298,G,439813.1439953837,2168
298,G2,439041.695670869,2195
298,G3_1,442893.94005605194,5981
298,G3_2,439170.4847045085,6440
298,G3_3,442112.56531055586,4274
298,G4_1,437822.070832829,3261
298,G4_2,433280.33178671746,5166
298,G4_3,443667.7298280747,2379
298,G6_V1_1,442960.6185783523,2795
298,G6_V1_2,433612.617079525,5081
298,G6_V1_3,436448.61626215285,5156
298,G6_V0_1,435666.54921989515,5126
298,G6_V0_2,439268.7234016097,2511
298,G6_V0_3,434272.4201654659,5311
298,Const_100,442025.1558527157,46634
298,Linear,440923.5416215371,22020
